away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Win,Win,Lose,Win,Win,1,1,1,0.48,Sydney FC,0.79,0.78,0.8,0.26,Win,Draw,Lose,Lose,Draw,8,5,9,0.26,Western Sydney Wanderers,0.35,0.36,0.33,https://footystats.org//australia/western-sydney-wanderers-fc-vs-sydney-fc-h2h-stats#683488,Draw,24,3.74,3.67,1.91
Win,Win,Lose,Win,Win,1,1,1,0.48,Sydney FC,0.79,0.78,0.8,0.26,Win,Draw,Lose,Lose,Draw,8,5,9,0.26,Western Sydney Wanderers,0.35,0.36,0.33,https://footystats.org//australia/western-sydney-wanderers-fc-vs-sydney-fc-h2h-stats#683488,Draw,24,3.04,3.39,2.25
Win,Win,Lose,Win,Win,1,1,1,0.48,Sydney FC,0.79,0.78,0.8,0.26,Win,Draw,Lose,Lose,Draw,8,5,9,0.26,Western Sydney Wanderers,0.35,0.36,0.33,https://footystats.org//australia/western-sydney-wanderers-fc-vs-sydney-fc-h2h-stats#683488,Draw,24,3.74,3.67,1.91
Win,Win,Lose,Win,Win,1,1,1,0.48,Sydney FC,0.79,0.78,0.8,0.26,Win,Draw,Lose,Lose,Draw,8,5,9,0.26,Western Sydney Wanderers,0.35,0.36,0.33,https://footystats.org//australia/western-sydney-wanderers-fc-vs-sydney-fc-h2h-stats#683488,Draw,24,3.04,3.39,2.25
Win,Win,Lose,Lose,Draw,2,3,4,0.52,Melbourne City FC,0.55,0.45,0.64,0.13,Win,Draw,Win,Draw,Lose,9,10,9,0.34,Newcastle Jets FC,0.24,0.18,0.3,https://footystats.org//australia/newcastle-jets-fc-vs-melbourne-city-fc-h2h-stats#683501,Home,26,2.87,3.58,2.3
Win,Win,Lose,Lose,Draw,2,3,4,0.52,Melbourne City FC,0.55,0.45,0.64,0.13,Win,Draw,Win,Draw,Lose,9,10,9,0.34,Newcastle Jets FC,0.24,0.18,0.3,https://footystats.org//australia/newcastle-jets-fc-vs-melbourne-city-fc-h2h-stats#683501,Home,26,2.45,3.64,2.6
Win,Win,Lose,Lose,Draw,2,3,4,0.52,Melbourne City FC,0.55,0.45,0.64,0.13,Win,Draw,Win,Draw,Lose,9,10,9,0.34,Newcastle Jets FC,0.24,0.18,0.3,https://footystats.org//australia/newcastle-jets-fc-vs-melbourne-city-fc-h2h-stats#683501,Home,26,2.87,3.58,2.3
Win,Win,Lose,Lose,Draw,2,3,4,0.52,Melbourne City FC,0.55,0.45,0.64,0.13,Win,Draw,Win,Draw,Lose,9,10,9,0.34,Newcastle Jets FC,0.24,0.18,0.3,https://footystats.org//australia/newcastle-jets-fc-vs-melbourne-city-fc-h2h-stats#683501,Home,26,2.45,3.64,2.6
Lose,Draw,Lose,Draw,Win,4,2,6,0.19,Perth Glory FC,0.42,0.4,0.44,0.16,Draw,Lose,Win,Win,Win,1,1,1,0.65,Sydney FC,0.83,0.78,0.89,https://footystats.org//australia/sydney-fc-vs-perth-glory-fc-h2h-stats#683483,Draw,23,2.15,3.55,3.12
Lose,Win,Win,Lose,Win,8,5,9,0.48,Western Sydney Wanderers,0.37,0.4,0.33,0.17,Win,Win,Draw,Win,Win,2,4,3,0.35,Melbourne City FC,0.55,0.4,0.7,https://footystats.org//australia/melbourne-city-fc-vs-western-sydney-wanderers-fc-h2h-stats#683484,Draw,23,1.67,4.00,4.65
