away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Win,Draw,Lose,Lose,Lose,14,14,14,0.5,Khimik Svetlogorsk,0.0,0.0,0.0,0.25,Draw,Lose,Win,Lose,Draw,12,12,11,0.25,Slonim,0.14,0.0,0.33,https://footystats.org//belarus/fk-slonim-2017-vs-fk-khimik-svetlogorsk-h2h-stats#955260,Home,21,1.57,3.80,4.74
Lose,Draw,Win,Draw,Lose,11,11,5,0.25,Orsha,0.27,0.0,0.43,0.5,Lose,Draw,Lose,Win,Win,9,7,10,0.25,Volna,0.36,0.4,0.33,https://footystats.org//belarus/fk-volna-pinsk-vs-fk-orsha-h2h-stats#955199,Away,12,,,
Lose,Lose,Lose,Win,Draw,14,14,14,0.0,Khimik Svetlogorsk,0.0,0.0,0.0,0.25,Win,Lose,Draw,Lose,Win,10,8,11,0.75,Naftan,0.27,0.2,0.33,https://footystats.org//belarus/fc-naftan-novopolotsk-vs-fk-khimik-svetlogorsk-h2h-stats#955196,Home,12,,,
Draw,Lose,Win,Win,Lose,5,9,1,0.5,Lida,0.45,0.17,0.8,0.5,Win,Win,Lose,Win,Win,1,2,3,0.0,Sputnik,0.55,0.4,0.67,https://footystats.org//belarus/fk-sputnik-vs-fk-lida-h2h-stats#955198,Home,12,1.61,3.83,4.49
Lose,Draw,Win,Draw,Lose,13,13,13,1.0,Granit,0.18,0.0,0.4,0.0,Draw,Win,Win,Lose,Draw,2,1,9,0.0,Gomel,0.5,0.6,0.4,https://footystats.org//belarus/fk-gomel-vs-fc-granit-mikashevichi-h2h-stats#955197,Home,12,1.69,3.73,4.02
Draw,Win,Lose,Lose,Lose,12,12,10,,Slonim,0.27,0.0,0.5,,Win,Win,Draw,Win,Win,7,11,3,,Arsenal Dzyarzhynsk,0.5,0.25,0.67,https://footystats.org//belarus/fk-arsenal-dzyarzhynsk-vs-fk-slonim-2017-h2h-stats#955201,Home,12,,,
Draw,Lose,Lose,Win,Win,4,3,9,0.0,Smorgon,0.45,0.33,0.6,0.0,Draw,Lose,Win,Win,Draw,6,6,5,1.0,Krumkachy,0.45,0.4,0.5,https://footystats.org//belarus/fk-krumkachy-minsk-vs-fc-smorgon-h2h-stats#955200,Home,12,,,
Win,Draw,Win,Draw,Lose,10,5,12,,Oshmyany,0.27,0.33,0.2,,Draw,Draw,Draw,Win,Draw,3,4,8,,Lokomotiv Gomel,0.45,0.6,0.33,https://footystats.org//belarus/fk-lokomotiv-gomel-vs-oshmyany-fk-h2h-stats#955202,Home,12,,,
Lose,Lose,Win,Win,Win,6,6,4,0.5,Lokomotiv Gomel,0.4,0.5,0.33,0.25,Win,Draw,Win,Win,Lose,2,2,6,0.25,Smorgon,0.5,0.33,0.75,https://footystats.org//belarus/fc-smorgon-vs-fk-lokomotiv-gomel-h2h-stats#955191,Away,11,,,
Win,Lose,Lose,Draw,Draw,11,11,10,0.75,Naftan,0.2,0.0,0.33,0.25,Draw,Lose,Win,Win,Draw,8,7,9,0.0,Volna,0.4,0.4,0.4,https://footystats.org//belarus/fk-volna-pinsk-vs-fc-naftan-novopolotsk-h2h-stats#955189,Away,11,,,
Win,Win,Win,Win,Draw,3,1,8,,Gomel,0.56,0.75,0.4,,Draw,Win,Draw,Lose,Win,9,4,12,,Oshmyany,0.3,0.33,0.25,https://footystats.org//belarus/oshmyany-fk-vs-fk-gomel-h2h-stats#955192,Draw,11,,,
Win,Draw,Win,Draw,Win,1,3,2,0.5,Sputnik,0.6,0.5,0.67,0.5,Lose,Lose,Win,Win,Draw,10,10,7,0.0,Orsha,0.3,0.0,0.5,https://footystats.org//belarus/fk-orsha-vs-fk-sputnik-h2h-stats#955190,Draw,11,,,
Win,Lose,Lose,Win,Win,5,6,3,1.0,Krumkachy,0.5,0.5,0.5,0.0,Lose,Win,Draw,Lose,Win,12,12,11,0.0,Slonim,0.2,0.0,0.4,https://footystats.org//belarus/fk-slonim-2017-vs-fk-krumkachy-minsk-h2h-stats#955194,Home,11,3.66,3.65,1.76
Lose,Lose,Win,Draw,Lose,14,14,14,0.25,Khimik Svetlogorsk,0.0,0.0,0.0,0.25,Win,Lose,Lose,Lose,Draw,13,13,13,0.5,Granit,0.1,0.0,0.25,https://footystats.org//belarus/fc-granit-mikashevichi-vs-fk-khimik-svetlogorsk-h2h-stats#955195,Home,11,1.18,5.94,10.07
Draw,Win,Lose,Win,Win,6,10,1,,Arsenal Dzyarzhynsk,0.56,0.33,0.67,,Win,Draw,Win,Win,Win,7,9,6,,Lida,0.4,0.17,0.75,https://footystats.org//belarus/fk-lida-vs-fk-arsenal-dzyarzhynsk-h2h-stats#955193,Home,11,,,
Draw,Win,Draw,Lose,Lose,13,12,13,0.13,Granit,0.11,0.0,0.25,0.5,Lose,Draw,Lose,Win,Draw,12,11,12,0.38,Naftan,0.11,0.0,0.2,https://footystats.org//belarus/fc-naftan-novopolotsk-vs-fc-granit-mikashevichi-h2h-stats#955182,Home,10,,,
Draw,Win,Draw,Lose,Lose,10,7,11,1.0,Oshmyany,0.22,0.2,0.25,0.0,Lose,Lose,Lose,Draw,Lose,14,14,14,0.0,Khimik Svetlogorsk,0.0,0.0,0.0,https://footystats.org//belarus/fk-khimik-svetlogorsk-vs-oshmyany-fk-h2h-stats#955183,Away,10,,,
Win,Win,Lose,Win,Lose,8,5,8,0.0,Volna,0.44,0.5,0.4,0.0,Win,Lose,Win,Win,Draw,2,2,6,1.0,Sputnik,0.56,0.5,0.6,https://footystats.org//belarus/fk-sputnik-vs-fk-volna-pinsk-h2h-stats#955185,Home,10,,,
Lose,Lose,Win,Win,Draw,1,3,3,0.0,Smorgon,0.56,0.4,0.75,0.0,Win,Win,Lose,Draw,Win,3,1,9,1.0,Gomel,0.63,0.75,0.5,https://footystats.org//belarus/fk-gomel-vs-fc-smorgon-h2h-stats#955184,Draw,10,,,
Win,Lose,Lose,Lose,Draw,12,13,11,0.0,Slonim,0.22,0.0,0.4,0.25,Draw,Draw,Win,Draw,Win,5,6,7,0.75,Lokomotiv Gomel,0.44,0.5,0.4,https://footystats.org//belarus/fk-lokomotiv-gomel-vs-fk-slonim-2017-h2h-stats#955188,Draw,10,1.4,4.32,5.87
Draw,Win,Draw,Lose,Lose,10,10,6,,Orsha,0.33,0.0,0.5,,Win,Draw,Win,Win,Lose,6,8,5,,Arsenal Dzyarzhynsk,0.5,0.33,0.6,https://footystats.org//belarus/fk-arsenal-dzyarzhynsk-vs-fk-orsha-h2h-stats#955187,Home,10,2.43,3.07,2.65
Lose,Win,Win,Lose,Draw,7,9,2,0.5,Lida,0.44,0.2,0.75,0.5,Lose,Win,Win,Draw,Win,4,5,3,0.0,Krumkachy,0.56,0.5,0.6,https://footystats.org//belarus/fk-krumkachy-minsk-vs-fk-lida-h2h-stats#955186,Draw,10,,,
Lose,Win,Draw,Lose,Lose,14,14,14,0.5,Khimik Svetlogorsk,0.0,0.0,0.0,0.5,Draw,Win,Win,Lose,Lose,2,1,7,0.0,Smorgon,0.5,0.4,0.67,https://footystats.org//belarus/fc-smorgon-vs-fk-khimik-svetlogorsk-h2h-stats#955178,Home,9,1.02,12.71,30.83
Draw,Win,Draw,Win,Draw,3,5,3,0.5,Sputnik,0.5,0.33,0.6,0.0,Draw,Lose,Win,Draw,Win,12,11,11,0.5,Naftan,0.13,0.0,0.25,https://footystats.org//belarus/fc-naftan-novopolotsk-vs-fk-sputnik-h2h-stats#955266,Away,9,2.65,3.25,2.32
Win,Win,Win,Win,Win,1,3,4,0.25,Lokomotiv Gomel,0.57,1.0,0.4,0.5,Draw,Win,Win,Win,Win,8,7,6,0.25,Lida,0.38,0.2,0.67,https://footystats.org//belarus/fk-lida-vs-fk-lokomotiv-gomel-h2h-stats#955177,Home,9,,,
Win,Lose,Win,Win,Win,9,9,10,,Arsenal Dzyarzhynsk,0.5,0.5,0.5,,Lose,Win,Win,Draw,Lose,6,4,8,,Volna,0.5,0.5,0.5,https://footystats.org//belarus/fk-volna-pinsk-vs-fk-arsenal-dzyarzhynsk-h2h-stats#955176,Draw,9,3.1,3.13,2.13
Win,Draw,Lose,Lose,Lose,13,13,13,,Granit,0.13,0.0,0.25,,Win,Draw,Lose,Win,Win,10,6,12,,Oshmyany,0.25,0.2,0.33,https://footystats.org//belarus/oshmyany-fk-vs-fc-granit-mikashevichi-h2h-stats#955181,Draw,9,3.23,3.50,1.94
Win,Win,Win,Draw,Win,4,3,8,,Gomel,0.57,0.67,0.5,,Win,Draw,Lose,Win,Lose,11,12,9,,Slonim,0.25,0.0,0.5,https://footystats.org//belarus/fk-slonim-2017-vs-fk-gomel-h2h-stats#955180,Away,9,8.49,5.22,1.26
Lose,Lose,Win,Win,Draw,7,9,2,0.25,Krumkachy,0.5,0.33,0.6,0.25,Lose,Win,Win,Draw,Win,8,10,4,0.5,Orsha,0.38,0.0,0.6,https://footystats.org//belarus/fk-orsha-vs-fk-krumkachy-minsk-h2h-stats#955179,Away,9,2.45,3.33,2.48
Win,Lose,Win,Lose,Win,8,9,7,0.0,Volna,0.43,0.33,0.5,0.0,Win,Win,Draw,Win,Lose,4,7,1,1.0,Krumkachy,0.57,0.33,0.75,https://footystats.org//belarus/fk-krumkachy-minsk-vs-fk-volna-pinsk-h2h-stats#955170,Away,8,1.46,3.94,5.96
Lose,Win,Win,Draw,Draw,1,1,6,0.0,Smorgon,0.57,0.5,0.67,0.5,Lose,Lose,Lose,Draw,Win,13,13,13,0.5,Granit,0.0,0.0,0.0,https://footystats.org//belarus/fc-granit-mikashevichi-vs-fc-smorgon-h2h-stats#955168,Home,8,,,
Win,Draw,Win,Draw,Lose,3,4,3,,Sputnik,0.57,0.5,0.6,,Win,Win,Lose,Win,Win,9,8,8,,Arsenal Dzyarzhynsk,0.6,0.5,0.67,https://footystats.org//belarus/fk-arsenal-dzyarzhynsk-vs-fk-sputnik-h2h-stats#955171,Draw,8,,,
Win,Win,Lose,Draw,Lose,6,6,5,,Lida,0.43,0.25,0.67,,Win,Lose,Draw,Win,Lose,5,2,9,,Gomel,0.5,0.67,0.33,https://footystats.org//belarus/fk-gomel-vs-fk-lida-h2h-stats#955169,Home,8,,,
Win,Draw,Lose,Lose,Win,10,6,12,,Oshmyany,0.29,0.25,0.33,,Lose,Win,Draw,Win,Win,11,10,10,,Naftan,0.14,0.0,0.33,https://footystats.org//belarus/fc-naftan-novopolotsk-vs-oshmyany-fk-h2h-stats#955172,Draw,8,2.13,3.40,2.88
Win,Draw,Lose,Lose,Draw,7,11,2,0.17,Orsha,0.43,0.0,0.6,0.0,Draw,Win,Draw,Win,Draw,4,3,4,0.83,Lokomotiv Gomel,0.67,1.0,0.5,https://footystats.org//belarus/fk-lokomotiv-gomel-vs-fk-orsha-h2h-stats#955174,Draw,8,1.51,3.91,5.21
Lose,Win,Win,Draw,Win,2,7,2,0.5,Krumkachy,0.67,0.5,0.75,0.5,Lose,Win,Win,Draw,Lose,5,3,5,0.0,Sputnik,0.5,0.5,0.5,https://footystats.org//belarus/fk-sputnik-vs-fk-krumkachy-minsk-h2h-stats#955164,Home,7,,,
Win,Win,Win,Draw,Win,3,5,3,0.75,Lokomotiv Gomel,0.6,1.0,0.5,0.25,Win,Win,Draw,Lose,Draw,7,9,4,0.0,Volna,0.5,0.33,0.67,https://footystats.org//belarus/fk-volna-pinsk-vs-fk-lokomotiv-gomel-h2h-stats#955161,Away,7,5.71,3.96,1.46
Lose,Lose,Lose,Lose,Lose,14,14,14,0.0,Khimik Svetlogorsk,0.0,0.0,0.0,0.5,Win,Win,Win,Win,Draw,6,4,6,0.5,Lida,0.5,0.25,1.0,https://footystats.org//belarus/fk-lida-vs-fk-khimik-svetlogorsk-h2h-stats#955163,Draw,7,1.17,6.17,10.89
Lose,Lose,Lose,Win,Lose,13,13,13,0.25,Granit,0.0,0.0,0.0,0.25,Lose,Win,Lose,Draw,Lose,12,12,11,0.5,Slonim,0.17,0.0,0.5,https://footystats.org//belarus/fk-slonim-2017-vs-fc-granit-mikashevichi-h2h-stats#955162,Draw,7,,,
Lose,Draw,Draw,Win,Win,10,10,9,,Naftan,0.17,0.0,0.33,,Win,Lose,Win,Win,Win,11,8,12,,Arsenal Dzyarzhynsk,0.5,0.5,0.5,https://footystats.org//belarus/fk-arsenal-dzyarzhynsk-vs-fc-naftan-novopolotsk-h2h-stats#955165,Home,7,1.7,3.28,4.61
Win,Draw,Win,Lose,Draw,8,3,8,,Gomel,0.4,0.5,0.33,,Win,Win,Draw,Win,Lose,5,11,1,,Orsha,0.5,0.0,0.75,https://footystats.org//belarus/fk-orsha-vs-fk-gomel-h2h-stats#955167,Away,7,4.96,3.83,1.54
Lose,Lose,Win,Lose,Win,9,6,11,,Oshmyany,0.33,0.33,0.33,,Win,Win,Lose,Lose,Lose,2,1,7,,Smorgon,0.67,0.5,1.0,https://footystats.org//belarus/fc-smorgon-vs-oshmyany-fk-h2h-stats#955166,Draw,7,,,
Lose,Lose,Draw,Lose,Draw,12,12,9,,Slonim,0.2,0.0,0.5,,Draw,Lose,Win,Win,Win,11,6,12,,Oshmyany,0.2,0.33,0.0,https://footystats.org//belarus/oshmyany-fk-vs-fk-slonim-2017-h2h-stats#955154,Home,6,1.77,3.55,3.77
Lose,Lose,Lose,Lose,Lose,14,14,14,0.5,Khimik Svetlogorsk,0.0,0.0,0.0,0.25,Win,Draw,Win,Lose,Lose,6,10,4,0.25,Orsha,0.4,0.0,0.67,https://footystats.org//belarus/fk-orsha-vs-fk-khimik-svetlogorsk-h2h-stats#955155,Home,6,1.34,4.66,6.61
Lose,Draw,Lose,Lose,Draw,7,11,6,0.25,Lida,0.4,0.0,1.0,0.25,Lose,Lose,Draw,Win,Draw,13,13,13,0.5,Granit,0.0,0.0,0.0,https://footystats.org//belarus/fc-granit-mikashevichi-vs-fk-lida-h2h-stats#955156,Away,6,1.84,3.62,3.41
Win,Lose,Win,Lose,Draw,4,8,3,,Volna,0.6,0.5,0.67,,Lose,Draw,Win,Lose,Draw,10,2,11,,Gomel,0.25,0.5,0.0,https://footystats.org//belarus/fk-gomel-vs-fk-volna-pinsk-h2h-stats#955157,Home,6,1.16,6.34,11.59
