away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,odds_away,odds_draw,odds_home,result,round
Win,Draw,Win,Draw,Draw,7,7,11,0.18,Hoffenheim,0.42,0.44,0.41,0.35,Lose,Win,Lose,Win,Win,2,3,2,0.47,Borussia Dortmund,0.64,0.59,0.69,https://footystats.org//germany/bvb-09-borussia-dortmund-vs-tsg-1899-hoffenheim-h2h-stats#952687,4.1,4.5,1.7,Away,34
Win,Win,Draw,Draw,Lose,13,10,16,0.29,Mainz 05,0.33,0.38,0.29,0.17,Win,Lose,Lose,Win,Win,5,4,5,0.53,Bayer Leverkusen,0.55,0.59,0.5,https://footystats.org//germany/bayer-04-leverkusen-vs-1-fsv-mainz-05-h2h-stats#952688,10.0,6.5,1.25,Home,34
Lose,Lose,Draw,Win,Draw,10,9,12,0.24,Hertha BSC,0.33,0.31,0.35,0.11,Win,Win,Lose,Win,Lose,4,6,3,0.65,Borussia M'gladbach,0.58,0.47,0.69,https://footystats.org//germany/borussia-vfl-monchengladbach-vs-hertha-bsc-h2h-stats#952689,8.0,5.75,1.33,Home,34
Win,Win,Win,Win,Win,1,1,1,0.86,Bayern München,0.76,0.75,0.76,0.09,Draw,Lose,Lose,Lose,Draw,6,5,14,0.05,Wolfsburg,0.39,0.53,0.25,https://footystats.org//germany/vfl-wolfsburg-vs-fc-bayern-munchen-h2h-stats#952690,1.7,4.33,4.33,Away,34
Lose,Draw,Draw,Draw,Lose,18,17,17,0.6,Paderborn,0.12,0.13,0.12,0.2,Win,Lose,Draw,Lose,Lose,9,13,7,0.2,Eintracht Frankfurt,0.36,0.29,0.44,https://footystats.org//germany/eintracht-frankfurt-vs-sc-paderborn-07-h2h-stats#952691,9.0,5.75,1.3,Home,34
Lose,Draw,Lose,Lose,Win,14,15,9,0.23,Köln,0.3,0.25,0.35,0.46,Lose,Lose,Lose,Draw,Lose,17,8,18,0.31,Werder Bremen,0.21,0.35,0.06,https://footystats.org//germany/sv-werder-bremen-vs-1-fc-koln-h2h-stats#952692,5.25,4.2,1.57,Home,34
Lose,Draw,Lose,Lose,Lose,11,12,10,0.38,Schalke 04,0.27,0.25,0.29,0.25,Win,Win,Lose,Lose,Win,8,11,6,0.38,Freiburg,0.36,0.24,0.5,https://footystats.org//germany/sc-freiburg-vs-fc-schalke-04-h2h-stats#952693,4.2,4.0,1.8,Home,34
Win,Win,Win,Draw,Win,3,2,4,0.33,RB Leipzig,0.52,0.63,0.41,0.33,Lose,Draw,Draw,Lose,Lose,15,14,13,0.33,Augsburg,0.27,0.24,0.31,https://footystats.org//germany/fc-augsburg-vs-rasen-ballsport-leipzig-h2h-stats#952694,1.36,5.75,7.0,Away,34
Draw,Lose,Draw,Draw,Draw,16,18,15,0.4,Fortuna Düsseldorf,0.18,0.13,0.24,0.33,Win,Draw,Draw,Lose,Draw,12,16,8,0.27,Union Berlin,0.33,0.24,0.44,https://footystats.org//germany/1-fc-union-berlin-vs-dusseldorfer-tus-fortuna-1895-h2h-stats#952695,1.9,3.6,4.0,Home,34
Draw,Draw,Draw,Lose,Draw,8,11,6,0.07,Freiburg,0.38,0.25,0.5,0.28,Win,Win,Win,Win,Win,1,1,1,0.64,Bayern München,0.75,0.75,0.75,https://footystats.org//germany/fc-bayern-munchen-vs-sc-freiburg-h2h-stats#952678,10.0,6.0,1.25,Home,33
Win,Win,Win,Lose,Win,2,4,2,0.43,Borussia Dortmund,0.63,0.56,0.69,0.28,Draw,Draw,Draw,Draw,Win,3,2,4,0.29,RB Leipzig,0.53,0.63,0.44,https://footystats.org//germany/rasen-ballsport-leipzig-vs-bvb-09-borussia-dortmund-h2h-stats#952679,2.9,3.8,2.25,Away,33
Win,Lose,Lose,Lose,Lose,12,16,8,0.0,Union Berlin,0.34,0.25,0.44,0.0,Lose,Win,Lose,Lose,Lose,7,5,13,1.0,Hoffenheim,0.41,0.44,0.38,https://footystats.org//germany/tsg-1899-hoffenheim-vs-1-fc-union-berlin-h2h-stats#952680,5.5,4.2,1.57,Home,33
Win,Lose,Win,Lose,Lose,14,14,11,0.57,Augsburg,0.28,0.25,0.31,0.0,Lose,Draw,Win,Draw,Draw,16,18,15,0.43,Fortuna Düsseldorf,0.19,0.13,0.25,https://footystats.org//germany/dusseldorfer-tus-fortuna-1895-vs-fc-augsburg-h2h-stats#952681,3.75,3.75,1.95,Draw,33
Draw,Win,Win,Win,Win,4,3,5,0.6,Bayer Leverkusen,0.56,0.63,0.5,0.13,Lose,Win,Win,Draw,Lose,11,9,14,0.27,Hertha BSC,0.31,0.31,0.31,https://footystats.org//germany/hertha-bsc-vs-bayer-04-leverkusen-h2h-stats#952682,1.57,4.33,5.25,Home,33
Win,Win,Win,Draw,Lose,17,8,18,0.44,Werder Bremen,0.22,0.38,0.06,0.16,Lose,Lose,Lose,Draw,Win,15,10,16,0.39,Mainz 05,0.31,0.38,0.25,https://footystats.org//germany/1-fsv-mainz-05-vs-sv-werder-bremen-h2h-stats#952683,2.62,3.5,2.6,Home,33
Lose,Win,Win,Win,Draw,6,6,12,0.29,Wolfsburg,0.38,0.5,0.25,0.17,Draw,Lose,Lose,Draw,Lose,10,12,9,0.53,Schalke 04,0.28,0.25,0.31,https://footystats.org//germany/fc-schalke-04-vs-vfl-wolfsburg-h2h-stats#952684,1.61,4.0,5.25,Away,33
Win,Lose,Win,Win,Lose,9,13,7,0.5,Eintracht Frankfurt,0.38,0.31,0.44,0.1,Lose,Lose,Draw,Draw,Win,13,15,10,0.4,Köln,0.31,0.25,0.38,https://footystats.org//germany/1-fc-koln-vs-eintracht-frankfurt-h2h-stats#952685,2.37,3.8,2.7,Draw,33
Lose,Lose,Draw,Win,Win,5,7,3,1.0,Borussia M'gladbach,0.56,0.44,0.69,0.0,Lose,Lose,Draw,Lose,Lose,18,17,17,0.0,Paderborn,0.13,0.13,0.13,https://footystats.org//germany/sc-paderborn-07-vs-borussia-vfl-monchengladbach-h2h-stats#952686,1.25,6.5,9.5,Away,33
Win,Win,Win,Draw,Win,6,5,12,0.41,Wolfsburg,0.39,0.53,0.25,0.29,Win,Lose,Win,Lose,Draw,5,6,3,0.29,Borussia M'gladbach,0.55,0.44,0.67,https://footystats.org//germany/borussia-vfl-monchengladbach-vs-vfl-wolfsburg-h2h-stats#952672,3.25,3.75,2.1,Home,32
Win,Win,Win,Win,Win,1,1,1,0.9,Bayern München,0.74,0.73,0.75,0.1,Lose,Lose,Draw,Lose,Lose,17,8,18,0.0,Werder Bremen,0.23,0.38,0.07,https://footystats.org//germany/sv-werder-bremen-vs-fc-bayern-munchen-h2h-stats#952674,1.16,7.5,13.0,Away,32
Lose,Draw,Win,Draw,Win,11,9,14,0.14,Hertha BSC,0.32,0.33,0.31,0.5,Win,Lose,Lose,Win,Lose,8,10,6,0.36,Freiburg,0.35,0.25,0.47,https://footystats.org//germany/sc-freiburg-vs-hertha-bsc-h2h-stats#952675,2.55,3.6,2.62,Home,32
Draw,Draw,Draw,Lose,Lose,18,17,17,0.46,Paderborn,0.13,0.13,0.13,0.3,Draw,Draw,Lose,Draw,Lose,14,16,10,0.23,Union Berlin,0.32,0.25,0.4,https://footystats.org//germany/1-fc-union-berlin-vs-sc-paderborn-07-h2h-stats#952677,5.0,4.2,1.65,Home,32
Draw,Lose,Lose,Lose,Draw,9,11,9,0.33,Schalke 04,0.29,0.27,0.31,0.33,Lose,Draw,Lose,Lose,Win,10,13,8,0.33,Eintracht Frankfurt,0.35,0.31,0.4,https://footystats.org//germany/eintracht-frankfurt-vs-fc-schalke-04-h2h-stats#952673,4.5,4.2,1.7,Home,32
Win,Draw,Draw,Lose,Win,15,12,16,0.13,Mainz 05,0.29,0.33,0.25,0.06,Win,Lose,Win,Win,Win,2,4,2,0.81,Borussia Dortmund,0.65,0.56,0.73,https://footystats.org//germany/bvb-09-borussia-dortmund-vs-1-fsv-mainz-05-h2h-stats#952669,10.0,6.5,1.25,Away,32
