away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Draw,Lose,Lose,Win,Lose,9,10,8,0.5,FC Seoul,0.3,0.2,0.4,0.3,Win,Draw,Draw,Draw,Draw,6,7,10,0.2,Busan I'Park,0.2,0.4,0.0,https://footystats.org//south-korea/busan-ipark-vs-fc-seoul-h2h-stats#944975,Home,11,2.13,3.16,3.46
Draw,Lose,Win,Draw,Win,11,4,12,0.2,Seongnam,0.2,0.4,0.0,0.26,Win,Win,Win,Win,Lose,1,3,1,0.53,Jeonbuk Motors,0.8,0.67,1.0,https://footystats.org//south-korea/jeonbuk-hyundai-motors-fc-vs-seongnam-fc-h2h-stats#944976,Draw,11,1.42,4.40,6.99
Lose,Win,Draw,Lose,Lose,10,8,10,0.37,Suwon Bluewings,0.2,0.25,0.17,0.33,Win,Win,Lose,Lose,Lose,5,1,8,0.3,Pohang Steelers,0.6,0.8,0.4,https://footystats.org//south-korea/pohang-steelers-fc-vs-suwon-samsung-bluewings-fc-h2h-stats#944977,Draw,11,1.85,3.43,4.06
Win,Win,Win,Draw,Draw,3,6,2,0.32,Sangju Sangmu,0.6,0.4,0.8,0.26,Lose,Lose,Lose,Draw,Win,12,12,11,0.42,Incheon United,0.0,0.0,0.0,https://footystats.org//south-korea/incheon-united-fc-vs-sangju-sangmu-phoenix-fc-h2h-stats#944978,Draw,11,3.91,3.10,2.01
Win,Win,Win,Draw,Win,2,2,4,0.67,Ulsan,0.7,0.8,0.6,0.25,Win,Win,Win,Draw,Draw,5,6,3,0.08,Daegu,0.5,0.4,0.6,https://footystats.org//south-korea/daegu-fc-vs-ulsan-hyundai-horang-i-h2h-stats#944979,Away,11,3.1,3.39,2.18
Lose,Win,Lose,Lose,Lose,9,11,8,0.38,Gwangju,0.3,0.25,0.33,0.5,Lose,Win,Lose,Win,Draw,7,9,6,0.13,Gangwon,0.3,0.2,0.4,https://footystats.org//south-korea/gangwon-fc-vs-gwangju-fc-h2h-stats#944980,Home,11,2.25,3.33,3.0
Draw,Lose,Lose,Lose,Lose,12,12,12,0.22,Incheon United,0.0,0.0,0.0,0.39,Lose,Win,Draw,Win,Draw,2,1,4,0.39,Ulsan,0.67,0.8,0.5,https://footystats.org//south-korea/ulsan-hyundai-horang-i-vs-incheon-united-fc-h2h-stats#944969,Home,10,1.37,4.57,8.02
Win,Lose,Draw,Lose,Win,11,8,9,0.43,Busan I'Park,0.11,0.25,0.0,0.42,Win,Lose,Win,Draw,Win,6,9,5,0.14,Gangwon,0.33,0.2,0.5,https://footystats.org//south-korea/gangwon-fc-vs-busan-ipark-h2h-stats#944970,Away,10,,,
Lose,Lose,Win,Lose,Draw,9,11,8,0.56,FC Seoul,0.33,0.25,0.4,0.32,Lose,Draw,Lose,Win,Lose,10,7,10,0.12,Suwon Bluewings,0.22,0.25,0.2,https://footystats.org//south-korea/suwon-samsung-bluewings-fc-vs-fc-seoul-h2h-stats#944971,Draw,10,2.06,2.95,3.94
Win,Win,Win,Lose,Win,1,2,1,0.69,Jeonbuk Motors,0.89,0.8,1.0,0.25,Win,Lose,Win,Win,Win,3,5,4,0.06,Sangju Sangmu,0.56,0.4,0.75,https://footystats.org//south-korea/sangju-sangmu-phoenix-fc-vs-jeonbuk-hyundai-motors-fc-h2h-stats#944972,Home,10,5.37,3.70,1.62
Win,Win,Win,Draw,Win,5,3,7,0.63,Pohang Steelers,0.56,0.75,0.4,0.18,Win,Lose,Lose,Lose,Draw,10,4,11,0.19,Seongnam,0.22,0.4,0.0,https://footystats.org//south-korea/seongnam-fc-vs-pohang-steelers-fc-h2h-stats#944973,Away,10,3.58,3.38,2.0
Win,Draw,Win,Lose,Draw,4,7,2,0.38,Daegu,0.44,0.25,0.6,0.25,Draw,Lose,Win,Win,Draw,8,11,5,0.38,Gwangju,0.33,0.25,0.4,https://footystats.org//south-korea/gwangju-fc-vs-daegu-fc-h2h-stats#944974,Away,10,,,
Win,Win,Draw,Win,Win,5,3,7,0.64,Pohang Steelers,0.5,0.67,0.4,0.36,Win,Win,Draw,Lose,Lose,7,10,5,0.0,Gwangju,0.38,0.25,0.5,https://footystats.org//south-korea/gwangju-fc-vs-pohang-steelers-fc-h2h-stats#944963,Away,9,3.81,3.37,1.93
