link,round,home_team,away_team,result,home_position_all,away_position_all,home_winperc_all,away_winperc_all,home_position_home,away_position_home,home_winperc_home,away_winperc_home,home_position_away,away_position_away,home_winperc_away,away_winperc_away,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,home_previous,draw_previous,away_previous,odds_home,odds_draw,odds_away
https://footystats.org//croatia/hnk-gorica-vs-nk-varazdin-h2h-stats#620290,34,Gorica,Varaždin,Away,6,8,0.36,0.21,6,8,0.44,0.29,5,7,0.29,0.13,Win,Draw,Lose,Win,Draw,Lose,Win,Lose,Draw,Win,0.4,0.2,0.4,2.12,3.36,3.11
https://footystats.org//croatia/hnk-gorica-vs-nk-varazdin-h2h-stats#620290,34,Gorica,Varaždin,Away,6,8,0.36,0.21,6,8,0.44,0.29,5,7,0.29,0.13,Win,Draw,Lose,Win,Draw,Lose,Win,Lose,Draw,Win,0.4,0.2,0.4,1.35,4.66,7.64
https://footystats.org//croatia/nk-inter-zapresic-vs-hnk-rijeka-h2h-stats#620287,34,Inter Zaprešić,Rijeka,Away,10,4,0.09,0.48,10,5,0.13,0.53,8,2,0.06,0.44,Lose,Lose,Lose,Lose,Lose,Lose,Lose,Draw,Win,Lose,0.0,0.31,0.68,11.81,5.72,1.21
https://footystats.org//croatia/nk-inter-zapresic-vs-hnk-rijeka-h2h-stats#620287,34,Inter Zaprešić,Rijeka,Away,10,4,0.09,0.48,10,5,0.13,0.53,8,2,0.06,0.44,Lose,Lose,Lose,Lose,Lose,Lose,Lose,Draw,Win,Lose,0.0,0.31,0.68,6.24,4.22,1.45
https://footystats.org//croatia/nk-osijek-vs-nk-istra-1961-h2h-stats#620289,34,Osijek,Istra 1961,Home,3,9,0.48,0.15,3,9,0.75,0.24,4,10,0.24,0.06,Win,Win,Win,Draw,Win,Lose,Lose,Lose,Lose,Lose,0.33,0.44,0.22,1.14,6.73,15.85
https://footystats.org//croatia/nk-osijek-vs-nk-istra-1961-h2h-stats#620289,34,Osijek,Istra 1961,Home,3,9,0.48,0.15,3,9,0.75,0.24,4,10,0.24,0.06,Win,Win,Win,Draw,Win,Lose,Lose,Lose,Lose,Lose,0.33,0.44,0.22,1.3,4.94,8.74
https://footystats.org//croatia/nk-slaven-belupo-koprivnica-vs-nk-lokomotiva-zagreb-h2h-stats#620291,34,Slaven Koprivnica,Lokomotiva Zagreb,Draw,7,3,0.27,0.55,7,3,0.44,0.76,9,3,0.12,0.31,Win,Win,Draw,Draw,Lose,Draw,Draw,Win,Win,Win,0.21,0.28,0.5,4.1,3.74,1.73
https://footystats.org//croatia/nk-slaven-belupo-koprivnica-vs-nk-lokomotiva-zagreb-h2h-stats#620291,34,Slaven Koprivnica,Lokomotiva Zagreb,Draw,7,3,0.27,0.55,7,3,0.44,0.76,9,3,0.12,0.31,Win,Win,Draw,Draw,Lose,Draw,Draw,Win,Win,Win,0.21,0.28,0.5,2.83,3.20,2.37
https://footystats.org//croatia/gnk-dinamo-zagreb-vs-hnk-hajduk-split-h2h-stats#620288,34,Dinamo Zagreb,Hajduk Split,Away,1,5,0.73,0.48,1,4,0.88,0.76,1,6,0.59,0.19,Draw,Win,Win,Win,Win,Lose,Lose,Win,Lose,Draw,0.52,0.29,0.19,1.53,4.00,5.41
https://footystats.org//croatia/gnk-dinamo-zagreb-vs-hnk-hajduk-split-h2h-stats#620288,34,Dinamo Zagreb,Hajduk Split,Away,1,5,0.73,0.48,1,4,0.88,0.76,1,6,0.59,0.19,Draw,Win,Win,Win,Win,Lose,Lose,Win,Lose,Draw,0.52,0.29,0.19,1.26,5.10,10.46
https://footystats.org//croatia/nk-istra-1961-vs-hnk-gorica-h2h-stats#620284,33,Istra 1961,Gorica,Draw,9,6,0.16,0.38,8,6,0.25,0.44,10,4,0.06,0.31,Draw,Win,Lose,Lose,Win,Win,Lose,Win,Draw,Draw,0.14,0.28,0.57,2.92,3.26,2.26
https://footystats.org//croatia/nk-istra-1961-vs-hnk-gorica-h2h-stats#620284,33,Istra 1961,Gorica,Draw,9,6,0.16,0.38,8,6,0.25,0.44,10,4,0.06,0.31,Draw,Win,Lose,Lose,Win,Win,Lose,Win,Draw,Draw,0.14,0.28,0.57,3.64,3.32,1.95
