away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Draw,Draw,Draw,Draw,Draw,20,12,20,0.0,Racing Santander,0.0,0.0,0.0,0.5,Win,Draw,Lose,Win,Draw,11,17,7,0.5,Rayo Vallecano,0.25,0.0,0.5,https://footystats.org//spain/rayo-vallecano-vs-real-racing-club-de-santander-h2h-stats#727204,Home,5,1.7,3.50,4.99
Lose,Win,Lose,Win,Draw,13,7,18,0.0,Málaga CF,0.25,0.5,0.0,0.0,Win,Lose,Win,Win,Win,14,15,14,1.0,Mirandés,0.25,0.0,0.5,https://footystats.org//spain/cd-mirandes-vs-malaga-cf-h2h-stats#727205,Draw,5,2.78,2.80,2.79
Lose,Win,Lose,Draw,Draw,5,8,5,0.36,SD Huesca,0.75,0.5,1.0,0.45,Win,Lose,Draw,Win,Lose,12,12,11,0.18,CD Numancia,0.25,0.0,0.5,https://footystats.org//spain/cd-numancia-de-soria-vs-sd-huesca-h2h-stats#727206,Home,5,3.18,2.97,2.37
Win,Draw,Draw,Lose,Lose,3,5,3,0.4,Almería,0.75,0.5,1.0,0.5,Draw,Lose,Draw,Win,Win,17,11,16,0.1,UD Las Palmas,0.0,0.0,0.0,https://footystats.org//spain/ud-las-palmas-vs-ud-almeria-h2h-stats#727207,Away,5,2.7,2.92,2.76
Lose,Lose,Lose,Lose,Lose,7,19,2,0.33,Girona FC,0.5,0.0,0.67,0.33,Win,Win,Lose,Draw,Draw,1,3,4,0.33,Cádiz,1.0,1.0,1.0,https://footystats.org//spain/cadiz-cf-vs-girona-fc-h2h-stats#727208,Home,5,2.4,2.86,3.24
Win,Win,Lose,Draw,Lose,8,1,22,0.4,AD Alcorcón,0.5,1.0,0.0,0.3,Win,Draw,Win,Win,Win,10,18,7,0.3,SD Ponferradina,0.25,0.0,0.5,https://footystats.org//spain/sd-ponferradina-vs-ad-alcorcon-h2h-stats#727209,Draw,5,2.46,2.92,3.05
Draw,Lose,Lose,Draw,Draw,5,19,2,0.73,Girona FC,0.41,0.16,0.65,0.18,Win,Draw,Lose,Draw,Win,19,12,18,0.09,CD Lugo,0.26,0.2,0.32,https://footystats.org//spain/cd-lugo-vs-girona-fc-h2h-stats#650428,Draw,40,3.86,2.89,2.13
Lose,Lose,Win,Draw,Lose,15,20,5,0.33,SD Ponferradina,0.28,0.16,0.4,0.22,Win,Win,Lose,Lose,Draw,20,22,7,0.44,CD Numancia,0.28,0.1,0.47,https://footystats.org//spain/cd-numancia-de-soria-vs-sd-ponferradina-h2h-stats#650429,Home,40,2.54,2.77,3.12
Lose,Win,Draw,Win,Lose,2,14,1,0.0,SD Huesca,0.49,0.26,0.7,0.66,Lose,Lose,Lose,Lose,Draw,22,21,22,0.33,Racing Santander,0.1,0.1,0.11,https://footystats.org//spain/real-racing-club-de-santander-vs-sd-huesca-h2h-stats#650430,Home,40,8.5,4.17,1.39
Draw,Draw,Draw,Draw,Win,15,15,13,0.47,Málaga CF,0.26,0.16,0.35,0.33,Draw,Win,Lose,Win,Win,13,17,7,0.2,Sporting Gijón,0.33,0.2,0.47,https://footystats.org//spain/real-sporting-de-gijon-vs-malaga-cf-h2h-stats#650431,Home,40,2.35,2.47,4.08
