away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Lose,Draw,Draw,Draw,Lose,9,11,4,1.0,Víkingur Reykjavík,0.2,0.0,0.33,0.0,Lose,Lose,Draw,Lose,Win,8,3,11,0.0,HK,0.2,0.33,0.0,https://footystats.org//iceland/hk-kopavogur-vs-vikingur-reykjavik-h2h-stats#828563,Away,6,3.99,3.92,1.73
Win,Win,Draw,Draw,Lose,8,8,6,0.21,Stjarnan,1.0,1.0,1.0,0.5,Lose,Lose,Win,Win,Win,3,1,10,0.29,Valur,0.6,1.0,0.0,https://footystats.org//iceland/valur-reykjavik-vs-umf-stjarnan-h2h-stats#828564,Draw,6,2.0,3.77,3.13
Lose,Draw,Lose,Lose,Win,12,11,12,0.0,Fjölnir,0.0,0.0,0.0,0.5,Draw,Win,Draw,Win,Draw,11,12,8,0.5,KA,0.0,0.0,0.0,https://footystats.org//iceland/ka-akureyri-vs-umf-fjolnir-h2h-stats#828565,Draw,6,1.82,3.93,3.54
Win,Win,Lose,Draw,Lose,5,7,3,,ÍA,0.4,0.5,0.33,,Draw,Win,Lose,Win,Lose,10,9,9,,Grótta,0.2,0.33,0.0,https://footystats.org//iceland/if-grotta-vs-ia-akranes-h2h-stats#828566,Away,6,3.82,4.21,1.71
Win,Win,Lose,Win,Lose,4,9,2,0.08,Fylkir,0.6,0.5,0.67,0.33,Win,Win,Win,Lose,Win,7,7,5,0.58,FH,0.5,0.33,1.0,https://footystats.org//iceland/fh-hafnarfjordur-vs-fylkir-fc-h2h-stats#828567,Away,6,1.53,4.63,4.61
Draw,Win,Draw,Win,Lose,1,5,1,0.21,Breidablik,0.6,0.5,0.67,0.5,Win,Lose,Win,Draw,Win,5,3,7,0.29,KR,0.75,1.0,0.5,https://footystats.org//iceland/kr-reykjavik-vs-breidablik-ubk-h2h-stats#828568,Home,6,2.57,3.65,2.36
Lose,Win,Win,Draw,Lose,11,12,8,0.5,KA,0.0,0.0,0.0,0.0,Win,Lose,Win,Lose,Lose,7,8,5,0.5,Fylkir,0.5,0.5,0.5,https://footystats.org//iceland/fylkir-fc-vs-ka-akureyri-h2h-stats#828557,Home,5,2.34,3.59,2.63
Lose,Lose,Win,Win,Draw,12,12,9,0.0,Grótta,0.0,0.0,0.0,1.0,Lose,Win,Lose,Lose,Win,11,9,12,0.0,Fjölnir,0.0,0.0,0.0,https://footystats.org//iceland/umf-fjolnir-vs-if-grotta-h2h-stats#828558,Away,5,1.52,4.47,4.88
Lose,Win,Win,Lose,Lose,7,8,4,0.29,FH,0.67,0.5,1.0,0.28,Win,Win,Win,Lose,Draw,1,4,1,0.43,Breidablik,0.75,0.5,1.0,https://footystats.org//iceland/breidablik-ubk-vs-fh-hafnarfjordur-h2h-stats#828559,Draw,5,1.69,4.09,4.0
Win,Win,Win,Lose,Win,5,1,10,0.38,Valur,0.5,1.0,0.0,0.46,Win,Draw,Win,Draw,Lose,8,10,2,0.15,Víkingur Reykjavík,0.25,0.0,0.5,https://footystats.org//iceland/vikingur-reykjavik-vs-valur-reykjavik-h2h-stats#828560,Away,5,3.15,3.70,1.99
Draw,Win,Win,Lose,Draw,9,3,11,0.33,HK,0.25,0.5,0.0,0.5,Lose,Win,Lose,Draw,Win,4,6,3,0.17,ÍA,0.5,0.5,0.5,https://footystats.org//iceland/ia-akranes-vs-hk-kopavogur-h2h-stats#828561,Draw,5,1.83,3.83,3.56
Win,Draw,Win,Lose,Win,1,7,1,0.67,Breidablik,1.0,1.0,1.0,0.16,Win,Draw,Win,Draw,Draw,10,11,8,0.17,KA,0.0,0.0,0.0,https://footystats.org//iceland/ka-akureyri-vs-breidablik-ubk-h2h-stats#828551,Draw,4,4.14,3.97,1.68
Win,Lose,Win,Lose,Lose,8,10,5,0.33,Fylkir,0.33,0.0,0.5,0.44,Win,Lose,Lose,Win,Draw,11,9,8,0.22,Fjölnir,0.0,0.0,0.0,https://footystats.org//iceland/umf-fjolnir-vs-fylkir-fc-h2h-stats#828552,Away,4,2.07,3.73,2.99
Win,Win,Lose,Draw,Lose,9,4,12,1.0,HK,0.33,1.0,0.0,0.0,Win,Lose,Win,Lose,Win,12,12,9,0.0,Grótta,0.0,0.0,0.0,https://footystats.org//iceland/if-grotta-vs-hk-kopavogur-h2h-stats#828554,Draw,4,3.8,3.85,1.78
Draw,Draw,Draw,Lose,Win,7,8,2,0.23,Víkingur Reykjavík,0.33,0.0,0.5,0.15,Lose,Win,Draw,Win,Win,6,2,10,0.62,KR,0.67,1.0,0.0,https://footystats.org//iceland/kr-reykjavik-vs-vikingur-reykjavik-h2h-stats#828556,Home,4,2.17,3.32,3.05
Draw,Lose,Lose,Win,Lose,10,7,9,0.2,Fjölnir,0.0,0.0,0.0,0.2,Win,Win,Lose,Draw,Win,3,6,1,0.6,Breidablik,1.0,1.0,1.0,https://footystats.org//iceland/breidablik-ubk-vs-umf-fjolnir-h2h-stats#828545,Home,3,1.26,5.69,8.41
Win,Win,Lose,Win,Draw,5,3,9,1.0,Valur,0.5,1.0,0.0,0.0,Lose,Draw,Lose,Win,Draw,4,2,7,0.0,HK,0.5,1.0,0.0,https://footystats.org//iceland/hk-kopavogur-vs-valur-reykjavik-h2h-stats#828546,Away,3,4.13,3.91,1.7
Lose,Win,Win,Draw,Draw,12,12,10,0.0,Grótta,0.0,0.0,0.0,0.0,Lose,Win,Lose,Lose,Win,11,9,7,1.0,Fylkir,0.0,0.0,0.0,https://footystats.org//iceland/fylkir-fc-vs-if-grotta-h2h-stats#828548,Home,3,1.54,4.22,5.03
Win,Win,Lose,Lose,Win,4,5,3,0.54,FH,1.0,1.0,1.0,0.3,Draw,Win,Draw,Lose,Win,8,8,5,0.15,Víkingur Reykjavík,0.0,0.0,0.0,https://footystats.org//iceland/vikingur-reykjavik-vs-fh-hafnarfjordur-h2h-stats#828549,Home,3,2.59,3.35,2.49
