away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Lose,Lose,Lose,Lose,Lose,11,14,9,0.27,Machine Sazi,0.25,0.08,0.42,0.45,Lose,Draw,Win,Win,Win,10,12,10,0.27,Zob Ahan,0.25,0.08,0.42,https://footystats.org//iran/zob-ahan-fc-vs-machine-sazi-tabriz-fc-h2h-stats#804544,Away,25,1.83,2.90,4.77
Win,Win,Draw,Lose,Win,1,1,2,0.64,Persepolis,0.74,0.82,0.67,0.27,Lose,Draw,Draw,Win,Win,10,13,9,0.09,Machine Sazi,0.26,0.08,0.45,https://footystats.org//iran/machine-sazi-tabriz-fc-vs-persepolis-fc-h2h-stats#804533,Away,24,5.35,2.97,1.74
Lose,Lose,Lose,Lose,Draw,11,15,10,1.0,Zob Ahan,0.22,0.0,0.42,0.0,Draw,Win,Win,Draw,Draw,16,14,15,0.0,Shahin Bushehr,0.13,0.08,0.18,https://footystats.org//iran/shahin-pars-jonoubi-bushehr-fc-vs-zob-ahan-fc-h2h-stats#804535,Away,24,3.28,2.55,2.47
Draw,Lose,Win,Draw,Lose,12,10,14,0.4,Saipa,0.17,0.18,0.17,0.3,Win,Win,Win,Win,Win,3,4,3,0.3,Padideh Khorasan,0.52,0.33,0.73,https://footystats.org//iran/padideh-khorasan-vs-saipa-fc-h2h-stats#804539,Draw,24,1.93,2.76,4.58
Lose,Draw,Draw,Lose,Lose,13,16,11,0.0,Pars Jam Bushehr,0.14,0.0,0.27,1.0,Win,Lose,Win,Win,Win,2,2,4,0.0,Sepahan,0.43,0.25,0.64,https://footystats.org//iran/foolad-mobarakeh-sepahan-sc-vs-fc-pars-jam-bushehr-h2h-stats#804537,Draw,24,1.37,3.73,10.03
Lose,Draw,Lose,Win,Lose,4,9,1,0.45,Tractor Sazi,0.52,0.27,0.75,0.27,Draw,Win,Win,Win,Lose,6,6,5,0.27,Esteghlal,0.45,0.27,0.64,https://footystats.org//iran/esteghlal-fc-vs-tractor-sazi-tabriz-fc-h2h-stats#804534,Draw,24,,,
Lose,Win,Draw,Lose,Lose,14,13,13,0.0,Gol Gohar,0.13,0.09,0.17,1.0,Lose,Lose,Lose,Lose,Lose,15,11,16,0.0,Paykan,0.17,0.08,0.27,https://footystats.org//iran/paykan-fc-vs-gol-gohar-fc-sirjan-h2h-stats#804536,Home,24,2.26,2.85,3.25
Win,Win,Lose,Win,Lose,9,7,12,0.0,Nassaji Mazandaran,0.27,0.27,0.27,1.0,Win,Lose,Lose,Win,Draw,7,5,7,0.0,Sanat Naft,0.43,0.33,0.55,https://footystats.org//iran/sanat-naft-fc-vs-nassaji-mazandaran-h2h-stats#804538,Draw,24,2.77,2.65,2.75
Win,Lose,Lose,Draw,Win,7,4,7,0.33,Sanat Naft,0.45,0.36,0.55,0.66,Lose,Win,Win,Win,Win,6,9,1,0.0,Tractor Sazi,0.5,0.27,0.73,https://footystats.org//iran/tractor-sazi-tabriz-fc-vs-sanat-naft-fc-h2h-stats#804527,Home,23,1.77,3.03,4.9
Draw,Draw,Lose,Lose,Lose,16,13,16,0.13,Paykan,0.14,0.0,0.27,0.25,Draw,Win,Win,Win,Lose,11,15,9,0.63,Zob Ahan,0.23,0.0,0.45,https://footystats.org//iran/zob-ahan-fc-vs-paykan-fc-h2h-stats#804528,Away,23,2.51,2.71,3.01
