away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Lose,Lose,Draw,Lose,Lose,19,19,19,0.0,Brescia,0.16,0.19,0.13,0.0,Win,Win,Win,Win,Win,4,1,4,1.0,Atalanta,0.63,0.63,0.63,https://footystats.org//italy/atalanta-bergamasca-calcio-vs-brescia-calcio-h2h-stats#676649,Home,33,1.13,9.03,18.05
Win,Win,Draw,Lose,Win,8,11,9,0.15,Sassuolo,0.39,0.31,0.47,0.23,Lose,Win,Win,Win,Draw,2,4,2,0.62,Lazio,0.68,0.6,0.75,https://footystats.org//italy/ss-lazio-vs-us-sassuolo-calcio-h2h-stats#676646,Away,32,1.52,4.63,5.59
Lose,Lose,Win,Draw,Lose,5,7,6,1.0,Roma,0.48,0.47,0.5,0.0,Win,Draw,Lose,Draw,Lose,19,19,19,0.0,Brescia,0.16,0.19,0.13,https://footystats.org//italy/brescia-calcio-vs-as-roma-h2h-stats#676644,Away,32,5.62,4.64,1.52
Win,Win,Win,Win,Win,3,1,4,0.04,Atalanta,0.65,0.67,0.63,0.2,Win,Win,Draw,Win,Win,1,3,1,0.76,Juventus,0.77,0.63,0.93,https://footystats.org//italy/juventus-fc-vs-atalanta-bergamasca-calcio-h2h-stats#676639,Draw,32,2.1,3.60,3.33
Lose,Lose,Win,Lose,Lose,20,20,20,0.2,SPAL,0.16,0.19,0.13,0.8,Lose,Lose,Lose,Lose,Win,18,15,18,0.0,Genoa,0.19,0.13,0.27,https://footystats.org//italy/genoa-cfc-vs-societa-polisportiva-ars-et-labor-2013-h2h-stats#676647,Home,32,1.76,3.76,4.56
Win,Win,Lose,Win,Win,10,8,15,0.27,Bologna,0.35,0.47,0.25,0.45,Lose,Lose,Lose,Lose,Win,12,11,14,0.27,Parma,0.35,0.31,0.4,https://footystats.org//italy/parma-calcio-1913-vs-bologna-fc-1909-h2h-stats#676640,Draw,32,3.37,3.39,2.17
Lose,Draw,Lose,Draw,Draw,9,13,5,0.33,Hellas Verona,0.35,0.2,0.5,0.11,Draw,Lose,Draw,Draw,Lose,13,12,16,0.56,Fiorentina,0.26,0.33,0.19,https://footystats.org//italy/acf-fiorentina-vs-hellas-verona-fc-h2h-stats#676641,Draw,32,2.1,3.42,3.53
Lose,Lose,Lose,Win,Lose,17,16,17,0.4,Lecce,0.23,0.27,0.19,0.2,Lose,Win,Lose,Lose,Draw,11,10,12,0.4,Cagliari,0.32,0.25,0.4,https://footystats.org//italy/cagliari-calcio-vs-us-lecce-h2h-stats#676642,Draw,32,2.02,3.66,3.53
Lose,Win,Lose,Lose,Win,16,17,13,0.4,Sampdoria,0.29,0.27,0.31,0.35,Draw,Lose,Draw,Draw,Lose,14,14,11,0.25,Udinese,0.29,0.25,0.33,https://footystats.org//italy/udinese-calcio-vs-uc-sampdoria-h2h-stats#676645,Away,32,2.18,3.04,3.77
Win,Draw,Win,Draw,Draw,7,7,8,0.14,AC Milan,0.45,0.5,0.4,0.45,Win,Win,Draw,Draw,Win,6,5,7,0.41,Napoli,0.48,0.5,0.47,https://footystats.org//italy/ssc-napoli-vs-ac-milan-h2h-stats#676643,Draw,32,2.19,3.50,3.21
Lose,Lose,Lose,Lose,Lose,16,18,11,0.24,Torino,0.32,0.27,0.38,0.41,Lose,Win,Draw,Win,Win,4,2,4,0.35,Inter Milan,0.61,0.67,0.56,https://footystats.org//italy/fc-internazionale-milano-vs-torino-fc-h2h-stats#676648,Home,32,1.38,4.87,8.04
Win,Lose,Win,Win,Draw,2,4,2,0.6,Lazio,0.7,0.64,0.75,0.4,Lose,Lose,Lose,Win,Win,18,14,18,0.0,Lecce,0.2,0.27,0.13,https://footystats.org//italy/us-lecce-vs-ss-lazio-h2h-stats#676633,Home,31,7.44,5.25,1.37
Win,Win,Draw,Lose,Win,1,3,1,0.67,Juventus,0.8,0.67,0.93,0.2,Win,Lose,Win,Draw,Draw,7,5,11,0.13,AC Milan,0.43,0.5,0.36,https://footystats.org//italy/ac-milan-vs-juventus-fc-h2h-stats#676632,Home,31,3.12,3.35,2.3
Draw,Win,Lose,Lose,Draw,11,10,11,0.37,Cagliari,0.33,0.27,0.4,0.26,Lose,Draw,Draw,Lose,Draw,13,11,16,0.37,Fiorentina,0.27,0.33,0.2,https://footystats.org//italy/acf-fiorentina-vs-cagliari-calcio-h2h-stats#676630,Draw,31,1.73,3.82,4.74
Lose,Win,Win,Win,Win,7,6,7,0.52,Napoli,0.47,0.47,0.47,0.28,Lose,Lose,Lose,Win,Lose,18,15,18,0.19,Genoa,0.2,0.13,0.29,https://footystats.org//italy/genoa-cfc-vs-ssc-napoli-h2h-stats#676634,Away,31,5.07,3.99,1.65
Lose,Draw,Lose,Lose,Lose,19,19,19,0.33,Brescia,0.17,0.2,0.13,0.33,Lose,Win,Draw,Lose,Lose,16,17,15,0.33,Torino,0.3,0.27,0.33,https://footystats.org//italy/torino-fc-vs-brescia-calcio-h2h-stats#676629,Home,31,1.59,4.01,5.71
