link,round,home_team,away_team,result,home_position_all,away_position_all,home_winperc_all,away_winperc_all,home_position_home,away_position_home,home_winperc_home,away_winperc_home,home_position_away,away_position_away,home_winperc_away,away_winperc_away,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,home_previous,draw_previous,away_previous,odds_home,odds_draw,odds_away
https://footystats.org//portugal/cs-maritimo-funchal-vs-rio-ave-fc-h2h-stats#633336,32,CS Marítimo,Rio Ave FC,Draw,12,5,0.29,0.45,10,8,0.33,0.38,13,3,0.25,0.53,Win,Win,Draw,Lose,Win,Lose,Win,Win,Draw,Win,0.39,0.27,0.33,3.86,3.24,2.0
https://footystats.org//portugal/vitoria-setubal-fc-vs-fc-famalicao-h2h-stats#633329,32,Vitória Setúbal,Famalicão,Away,16,6,0.19,0.42,15,5,0.2,0.44,16,6,0.19,0.4,Lose,Lose,Draw,Draw,Lose,Win,Draw,Win,Draw,Lose,0.0,0.0,1.0,3.49,3.34,2.08
https://footystats.org//portugal/cd-santa-clara-vs-cd-aves-h2h-stats#633331,32,Santa Clara,CD Aves,Home,11,18,0.32,0.16,12,17,0.33,0.25,8,18,0.31,0.07,Lose,Draw,Win,Lose,Win,Lose,Lose,Lose,Lose,Draw,0.31,0.38,0.31,1.55,3.89,5.98
https://footystats.org//portugal/portimonense-sc-vs-boavista-fc-h2h-stats#633333,32,Portimonense,Boavista FC,Home,17,12,0.16,0.32,14,11,0.2,0.31,17,11,0.13,0.33,Lose,Win,Draw,Win,Draw,Lose,Lose,Win,Draw,Lose,0.5,0.16,0.33,1.56,3.72,6.33
https://footystats.org//portugal/gil-vicente-fc-vs-cd-tondela-h2h-stats#633334,32,Gil Vicente,CD Tondela,Home,9,15,0.32,0.23,7,18,0.4,0.13,14,10,0.25,0.33,Win,Win,Lose,Draw,Lose,Draw,Lose,Draw,Lose,Lose,0.5,0.5,0.0,2.6,3.00,2.86
https://footystats.org//portugal/sl-benfica-vs-vitoria-guimaraes-sc-h2h-stats#633335,32,Benfica,Vitória Guimarães,Home,2,7,0.68,0.39,3,6,0.67,0.44,1,7,0.69,0.33,Win,Lose,Draw,Draw,Draw,Win,Lose,Draw,Win,Win,0.82,0.09,0.09,1.57,4.20,5.26
https://footystats.org//portugal/boavista-fc-vs-cs-maritimo-funchal-h2h-stats#633328,31,Boavista FC,CS Marítimo,Away,10,12,0.33,0.27,11,9,0.33,0.33,10,15,0.33,0.2,Win,Win,Lose,Lose,Lose,Win,Lose,Lose,Lose,Lose,0.36,0.09,0.55,2.64,2.92,2.89
https://footystats.org//portugal/cd-aves-vs-vitoria-setubal-fc-h2h-stats#633326,31,CD Aves,Vitória Setúbal,Home,18,16,0.13,0.2,18,15,0.2,0.2,18,14,0.07,0.2,Lose,Draw,Lose,Lose,Lose,Lose,Lose,Draw,Draw,Lose,0.4,0.0,0.6,5.1,3.57,1.69
https://footystats.org//portugal/rio-ave-fc-vs-portimonense-sc-h2h-stats#633323,31,Rio Ave FC,Portimonense,Home,6,17,0.43,0.17,10,14,0.33,0.2,3,17,0.53,0.13,Win,Lose,Lose,Draw,Draw,Win,Draw,Lose,Lose,Lose,0.5,0.25,0.25,1.78,3.53,4.53
https://footystats.org//portugal/cd-tondela-vs-fc-porto-h2h-stats#633322,31,CD Tondela,Porto,Away,15,1,0.23,0.77,18,1,0.13,0.87,9,2,0.33,0.67,Lose,Lose,Win,Draw,Lose,Win,Draw,Lose,Win,Lose,0.11,0.11,0.78,9.44,5.02,1.32
