away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Win,Win,Draw,Draw,Win,16,9,16,0.0,Aalesund,0.0,0.0,0.0,1.0,Lose,Win,Win,Draw,Draw,9,7,8,0.0,Kristiansund,0.0,0.0,0.0,https://footystats.org//norway/kristiansund-bk-vs-aalesunds-fk-h2h-stats#830531,Home,11,2.29,3.27,3.12
Win,Win,Lose,Lose,Draw,14,14,15,0.36,Viking,0.0,0.0,0.0,0.28,Lose,Win,Draw,Draw,Draw,4,3,6,0.36,Brann,1.0,1.0,0.0,https://footystats.org//norway/sk-brann-vs-viking-fk-h2h-stats#830513,Home,9,1.99,3.60,3.52
Lose,Win,Win,Draw,Draw,10,10,10,0.0,Sandefjord,0.0,0.0,0.0,0.5,Win,Win,Lose,Draw,Win,8,8,8,0.5,Odd,0.0,0.0,0.0,https://footystats.org//norway/odds-bk-vs-sandefjord-fotball-h2h-stats#830506,Away,8,1.79,3.70,4.31
Lose,Lose,Lose,Draw,Win,5,5,5,0.0,Kristiansund,0.0,0.0,0.0,0.5,Win,Lose,Win,Lose,Win,9,9,9,0.5,Rosenborg,0.0,0.0,0.0,https://footystats.org//norway/rosenborg-bk-vs-kristiansund-bk-h2h-stats#830507,Draw,8,1.61,3.90,5.37
Lose,Lose,Draw,Draw,Draw,3,3,3,0.5,FK Bodo - Glimt,0.0,0.0,0.0,0.0,Draw,Win,Win,Win,Win,15,15,15,0.5,Viking,0.0,0.0,0.0,https://footystats.org//norway/viking-fk-vs-fk-bodo-glimt-h2h-stats#830512,Away,8,2.18,3.57,3.08
Draw,Win,Win,Win,Lose,2,2,2,0.5,Molde,0.83,0.67,1.0,0.27,Win,Draw,Lose,Lose,Win,10,9,8,0.22,Haugesund,0.33,0.33,0.33,https://footystats.org//norway/fk-haugesund-vs-molde-fk-h2h-stats#1003872,Away,7,3.86,3.76,1.85
Lose,Win,Draw,Win,Lose,5,7,5,0.12,Strømsgodset,0.33,0.33,0.33,0.35,Draw,Lose,Draw,Win,Lose,7,4,12,0.53,Rosenborg,0.33,0.67,0.0,https://footystats.org//norway/rosenborg-bk-vs-stromsgodset-if-h2h-stats#1003873,Home,7,1.34,5.10,8.01
Win,Lose,Lose,Lose,Draw,11,10,9,0.31,Odd,0.33,0.5,0.25,0.25,Win,Draw,Lose,Draw,Win,12,16,8,0.44,Viking,0.17,0.0,0.33,https://footystats.org//norway/viking-fk-vs-odds-bk-h2h-stats#1003874,Away,7,2.19,3.55,3.06
Lose,Draw,Draw,Win,Win,9,15,3,0.38,Stabæk,0.33,0.0,0.5,0.12,Draw,Win,Lose,Win,Win,4,5,7,0.5,Kristiansund,0.33,0.25,0.5,https://footystats.org//norway/kristiansund-bk-vs-stabaek-fotball-h2h-stats#1003875,Away,7,1.7,3.91,4.52
Lose,Draw,Win,Lose,Win,15,14,13,0.25,Start,0.0,0.0,0.0,0.16,Lose,Lose,Lose,Draw,Win,14,11,16,0.58,Sarpsborg 08,0.17,0.33,0.0,https://footystats.org//norway/sarpsborg-08-ff-vs-ik-start-h2h-stats#1003876,Home,7,1.57,3.90,5.84
Win,Win,Win,Lose,Lose,2,2,1,0.17,FK Bodo - Glimt,1.0,1.0,1.0,0.16,Lose,Draw,Lose,Win,Win,16,13,15,0.67,Aalesund,0.0,0.0,0.0,https://footystats.org//norway/aalesunds-fk-vs-fk-bodo-glimt-h2h-stats#1003877,Away,7,6.4,5.26,1.39
Draw,Lose,Win,Lose,Draw,6,7,5,0.75,Vålerenga,0.33,0.33,0.33,0.0,Lose,Win,Win,Win,Draw,8,6,12,0.25,Mjøndalen,0.33,0.25,0.5,https://footystats.org//norway/mjondalen-if-vs-valerenga-fotball-h2h-stats#1003878,Away,7,2.8,3.25,2.5
Lose,Lose,Win,Lose,Win,13,12,14,0.0,Sandefjord,0.17,0.33,0.0,0.16,Lose,Win,Lose,Win,Draw,5,3,11,0.83,Brann,0.5,0.5,0.5,https://footystats.org//norway/sk-brann-vs-sandefjord-fotball-h2h-stats#1003879,Home,7,1.54,4.03,5.92
Lose,Lose,Win,Win,Lose,12,16,7,0.5,Viking,0.2,0.0,0.33,0.3,Lose,Lose,Draw,Win,Win,14,12,15,0.2,Start,0.0,0.0,0.0,https://footystats.org//norway/ik-start-vs-viking-fk-h2h-stats#1003864,Draw,6,2.62,3.55,2.49
