link,round,home_team,away_team,result,home_position_all,away_position_all,home_winperc_all,away_winperc_all,home_position_home,away_position_home,home_winperc_home,away_winperc_home,home_position_away,away_position_away,home_winperc_away,away_winperc_away,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,home_previous,draw_previous,away_previous,odds_home,odds_draw,odds_away
https://footystats.org//ukraine/fc-metalist-1925-kharkiv-vs-fk-avanhard-kramatorsk-h2h-stats#856375,24,Metalist 1925 Kharkiv,Avanhard,Away,4,8,0.57,0.48,6,5,0.64,0.58,2,7,0.5,0.36,Win,Win,Win,Win,Draw,Lose,Draw,Win,Lose,Lose,0.67,0.0,0.33,1.86,3.13,3.85
https://footystats.org//ukraine/fc-hirnyk-sport-komsomolsk-vs-fk-ahrobiznes-volochysk-h2h-stats#856367,23,Hirnyk-Sport,Ahrobiznes Volochysk,Home,9,1,0.41,0.68,10,3,0.45,0.82,8,4,0.36,0.55,Win,Lose,Win,Win,Lose,Win,Win,Win,Lose,Lose,0.0,0.66,0.33,,,
https://footystats.org//ukraine/fc-minai-vs-fc-metalist-1925-kharkiv-h2h-stats#856368,23,Minai,Metalist 1925 Kharkiv,Home,5,3,0.55,0.59,4,5,0.73,0.64,6,1,0.36,0.55,Draw,Lose,Draw,Win,Win,Win,Lose,Lose,Draw,Win,1.0,0.0,0.0,2.01,3.40,3.07
https://footystats.org//ukraine/fk-avanhard-kramatorsk-vs-fk-balkany-zorya-h2h-stats#856369,23,Avanhard,Balkany Zorya,Draw,8,14,0.5,0.18,6,13,0.64,0.27,7,15,0.36,0.09,Win,Win,Win,Lose,Draw,Lose,Lose,Lose,Lose,Lose,0.67,0.16,0.17,1.38,4.31,6.42
https://footystats.org//ukraine/fc-volyn-lutsk-vs-fk-inhulets-petrove-h2h-stats#856370,23,Volyn,Inhulets,Away,5,2,0.55,0.59,1,4,0.82,0.73,9,5,0.27,0.45,Win,Draw,Win,Win,Win,Draw,Draw,Win,Lose,Lose,0.2,0.6,0.2,2.04,3.32,3.19
https://footystats.org//ukraine/fk-prykarpattia-ivano-frankivsk-vs-fc-kremin-kremenchuk-h2h-stats#856371,23,Prykarpattia,Kremin,Home,13,12,0.23,0.23,14,12,0.18,0.36,10,13,0.27,0.09,Lose,Lose,Lose,Lose,Win,Lose,Win,Lose,Draw,Lose,0.67,0.0,0.33,2.02,3.47,3.14
https://footystats.org//ukraine/mfk-mykolaiv-vs-fc-obolon-brovar-kyiv-h2h-stats#856372,23,Mykolaiv,Obolon-Brovar,Away,11,8,0.23,0.5,11,8,0.36,0.45,12,2,0.09,0.55,Draw,Win,Lose,Lose,Lose,Lose,Lose,Win,Win,Lose,0.22,0.33,0.44,2.83,3.29,2.26
https://footystats.org//ukraine/fk-chornomorets-odessa-vs-fc-rukh-vynnyky-h2h-stats#856373,23,Chornomorets,Rukh Vynnyky,Draw,10,6,0.36,0.57,9,7,0.45,0.7,11,3,0.27,0.45,Draw,Win,Draw,Win,Win,Draw,Win,Lose,Lose,Win,0.0,0.0,1.0,3.67,3.24,1.87
https://footystats.org//ukraine/fk-balkany-zorya-vs-fc-minai-h2h-stats#856358,22,Balkany Zorya,Minai,Away,14,6,0.19,0.52,12,2,0.3,0.73,15,8,0.09,0.3,Win,Lose,Draw,Draw,Win,Lose,Draw,Win,Lose,Lose,0.0,0.0,1.0,,,
https://footystats.org//ukraine/fc-metalist-1925-kharkiv-vs-fc-hirnyk-sport-komsomolsk-h2h-stats#856359,22,Metalist 1925 Kharkiv,Hirnyk-Sport,Home,2,9,0.57,0.43,7,10,0.6,0.45,1,7,0.55,0.4,Win,Win,Win,Draw,Win,Lose,Win,Win,Lose,Lose,0.67,0.33,0.0,,,
