away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Lose,Win,Win,Draw,Win,5,3,8,0.33,Rio Ave FC,0.45,0.53,0.38,0.27,Win,Win,Draw,Lose,Win,12,13,10,0.39,CS Marítimo,0.29,0.25,0.33,https://footystats.org//portugal/cs-maritimo-funchal-vs-rio-ave-fc-h2h-stats#633336,Draw,32,3.87,3.23,2.0
Win,Draw,Win,Draw,Lose,6,6,5,1.0,Famalicão,0.42,0.4,0.44,0.0,Lose,Lose,Draw,Draw,Lose,16,16,15,0.0,Vitória Setúbal,0.19,0.19,0.2,https://footystats.org//portugal/vitoria-setubal-fc-vs-fc-famalicao-h2h-stats#633329,Away,32,3.49,3.34,2.09
Lose,Lose,Lose,Lose,Draw,18,18,17,0.31,CD Aves,0.16,0.07,0.25,0.38,Lose,Draw,Win,Lose,Win,11,8,12,0.31,Santa Clara,0.32,0.31,0.33,https://footystats.org//portugal/cd-santa-clara-vs-cd-aves-h2h-stats#633331,Home,32,1.55,3.89,6.01
Lose,Lose,Win,Draw,Lose,12,11,11,0.33,Boavista FC,0.32,0.33,0.31,0.16,Lose,Win,Draw,Win,Draw,17,17,14,0.5,Portimonense,0.16,0.13,0.2,https://footystats.org//portugal/portimonense-sc-vs-boavista-fc-h2h-stats#633333,Home,32,1.56,3.72,6.34
Draw,Lose,Draw,Lose,Lose,15,10,18,0.0,CD Tondela,0.23,0.33,0.13,0.5,Win,Win,Lose,Draw,Lose,9,14,7,0.5,Gil Vicente,0.32,0.25,0.4,https://footystats.org//portugal/gil-vicente-fc-vs-cd-tondela-h2h-stats#633334,Home,32,2.6,2.99,2.87
Win,Lose,Draw,Win,Win,7,7,6,0.09,Vitória Guimarães,0.39,0.33,0.44,0.09,Win,Lose,Draw,Draw,Draw,2,1,3,0.82,Benfica,0.68,0.69,0.67,https://footystats.org//portugal/sl-benfica-vs-vitoria-guimaraes-sc-h2h-stats#633335,Home,32,1.57,4.21,5.27
Win,Lose,Lose,Lose,Lose,12,15,9,0.55,CS Marítimo,0.27,0.2,0.33,0.09,Win,Win,Lose,Lose,Lose,10,10,11,0.36,Boavista FC,0.33,0.33,0.33,https://footystats.org//portugal/boavista-fc-vs-cs-maritimo-funchal-h2h-stats#633328,Away,31,2.64,2.92,2.89
Lose,Lose,Draw,Draw,Lose,16,14,15,0.6,Vitória Setúbal,0.2,0.2,0.2,0.0,Lose,Draw,Lose,Lose,Lose,18,18,18,0.4,CD Aves,0.13,0.07,0.2,https://footystats.org//portugal/cd-aves-vs-vitoria-setubal-fc-h2h-stats#633326,Home,31,5.1,3.57,1.69
Win,Draw,Lose,Lose,Lose,17,17,14,0.25,Portimonense,0.17,0.13,0.2,0.25,Win,Lose,Lose,Draw,Draw,6,3,10,0.5,Rio Ave FC,0.43,0.53,0.33,https://footystats.org//portugal/rio-ave-fc-vs-portimonense-sc-h2h-stats#633323,Home,31,1.78,3.53,4.53
Win,Draw,Lose,Win,Lose,1,2,1,0.78,Porto,0.77,0.67,0.87,0.11,Lose,Lose,Win,Draw,Lose,15,9,18,0.11,CD Tondela,0.23,0.33,0.13,https://footystats.org//portugal/cd-tondela-vs-fc-porto-h2h-stats#633322,Away,31,9.44,5.02,1.32
