away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Win,Draw,Win,Lose,Draw,6,5,10,0.33,Wolverhampton Wanderers,0.39,0.4,0.38,0.33,Lose,Draw,Lose,Lose,Win,19,19,16,0.33,Aston Villa,0.23,0.13,0.33,https://footystats.org//england/aston-villa-fc-vs-wolverhampton-wanderers-fc-h2h-stats#579306,Away,32,4.49,3.41,1.89
Win,Lose,Lose,Lose,Win,14,6,20,0.43,Southampton,0.35,0.47,0.25,0.42,Draw,Win,Lose,Draw,Draw,16,18,15,0.14,Watford,0.19,0.13,0.27,https://footystats.org//england/watford-fc-vs-southampton-fc-h2h-stats#579312,Away,32,2.38,3.22,3.19
Draw,Draw,Draw,Lose,Lose,15,16,14,0.27,Brighton & Hove Albion,0.23,0.13,0.33,0.18,Win,Win,Lose,Draw,Win,3,4,3,0.55,Leicester City,0.53,0.47,0.6,https://footystats.org//england/leicester-city-fc-vs-brighton-hove-albion-fc-h2h-stats#579296,Draw,31,1.62,3.92,5.85
Lose,Lose,Lose,Lose,Lose,17,14,18,0.31,West Ham United,0.23,0.2,0.27,0.15,Draw,Draw,Lose,Lose,Win,8,11,5,0.54,Tottenham Hotspur,0.37,0.2,0.53,https://footystats.org//england/tottenham-hotspur-fc-vs-west-ham-united-fc-h2h-stats#579302,Home,31,1.56,4.15,6.18
Lose,Draw,Win,Win,Win,8,7,9,0.0,Sheffield United,0.37,0.27,0.47,0.5,Win,Win,Win,Draw,Lose,5,9,5,0.5,Manchester United,0.4,0.27,0.53,https://footystats.org//england/manchester-united-fc-vs-sheffield-united-fc-h2h-stats#579298,Home,31,1.36,4.81,9.5
Lose,Lose,Lose,Draw,Draw,19,19,16,0.21,Aston Villa,0.23,0.13,0.33,0.36,Win,Draw,Draw,Draw,Win,13,13,10,0.42,Newcastle United,0.33,0.27,0.4,https://footystats.org//england/newcastle-united-fc-vs-aston-villa-fc-h2h-stats#579299,Draw,31,2.35,3.34,3.11
Lose,Lose,Win,Draw,Lose,12,15,7,0.18,Everton,0.33,0.2,0.47,0.54,Lose,Win,Lose,Win,Draw,20,20,19,0.27,Norwich City,0.17,0.07,0.27,https://footystats.org//england/norwich-city-fc-vs-everton-fc-h2h-stats#579300,Away,31,4.42,3.55,1.86
Lose,Lose,Lose,Lose,Lose,18,17,17,0.4,AFC Bournemouth,0.23,0.2,0.27,0.2,Draw,Win,Win,Draw,Lose,6,5,12,0.4,Wolverhampton Wanderers,0.37,0.4,0.33,https://footystats.org//england/wolverhampton-wanderers-fc-vs-afc-bournemouth-h2h-stats#579303,Home,31,1.57,3.86,6.72
Win,Win,Lose,Draw,Draw,9,8,13,0.29,Crystal Palace,0.37,0.33,0.4,0.07,Lose,Win,Win,Win,Win,1,1,1,0.64,Liverpool,0.9,0.8,1.0,https://footystats.org//england/liverpool-fc-vs-crystal-palace-fc-h2h-stats#579297,Home,31,1.28,5.70,11.68
Lose,Lose,Draw,Lose,Lose,16,18,15,0.24,Watford,0.2,0.13,0.27,0.35,Draw,Win,Draw,Lose,Win,12,10,12,0.41,Burnley,0.37,0.27,0.47,https://footystats.org//england/burnley-fc-vs-watford-fc-h2h-stats#579294,Home,31,3.57,3.20,2.21
Lose,Lose,Win,Win,Draw,11,13,6,0.44,Arsenal,0.3,0.13,0.47,0.27,Lose,Win,Lose,Draw,Lose,14,6,20,0.28,Southampton,0.37,0.47,0.27,https://footystats.org//england/southampton-fc-vs-arsenal-fc-h2h-stats#579301,Away,31,2.65,3.52,2.61
Lose,Win,Win,Win,Win,2,2,2,0.48,Manchester City,0.67,0.6,0.73,0.12,Win,Win,Lose,Win,Lose,4,3,10,0.39,Chelsea,0.5,0.53,0.47,https://footystats.org//england/chelsea-fc-vs-manchester-city-fc-h2h-stats#579295,Home,31,4.16,3.93,1.82
Lose,Lose,Lose,Win,Win,14,7,20,0.43,Southampton,0.34,0.43,0.27,0.42,Win,Lose,Win,Draw,Draw,20,20,19,0.14,Norwich City,0.17,0.07,0.29,https://footystats.org//england/norwich-city-fc-vs-southampton-fc-h2h-stats#579290,Away,30,2.91,3.41,2.44
Win,Win,Draw,Draw,Win,5,9,4,0.57,Manchester United,0.41,0.29,0.53,0.21,Draw,Lose,Lose,Win,Win,8,11,5,0.21,Tottenham Hotspur,0.38,0.2,0.57,https://footystats.org//england/tottenham-hotspur-fc-vs-manchester-united-fc-h2h-stats#579291,Draw,30,3.26,3.43,2.24
Lose,Draw,Lose,Win,Lose,3,4,3,0.52,Leicester City,0.55,0.5,0.6,0.09,Win,Lose,Draw,Draw,Win,17,18,16,0.38,Watford,0.21,0.13,0.29,https://footystats.org//england/watford-fc-vs-leicester-city-fc-h2h-stats#579292,Draw,30,3.78,3.43,2.05
Lose,Win,Win,Draw,Win,9,12,6,0.43,Arsenal,0.31,0.14,0.47,0.28,Lose,Draw,Draw,Lose,Draw,15,16,14,0.29,Brighton & Hove Albion,0.21,0.13,0.29,https://footystats.org//england/brighton-hove-albion-fc-vs-arsenal-fc-h2h-stats#579286,Home,30,3.22,3.37,2.28
Draw,Win,Lose,Draw,Win,7,6,11,0.5,Wolverhampton Wanderers,0.34,0.36,0.33,0.12,Win,Draw,Lose,Lose,Draw,16,14,18,0.38,West Ham United,0.24,0.2,0.29,https://footystats.org//england/west-ham-united-fc-vs-wolverhampton-wanderers-fc-h2h-stats#579293,Away,30,4.09,3.38,1.99
Win,Lose,Draw,Draw,Draw,11,9,12,0.33,Crystal Palace,0.34,0.29,0.4,0.44,Draw,Win,Lose,Win,Lose,18,17,17,0.22,AFC Bournemouth,0.24,0.2,0.29,https://footystats.org//england/afc-bournemouth-vs-crystal-palace-fc-h2h-stats#579284,Away,30,2.7,3.08,2.85
Draw,Win,Win,Win,Draw,7,7,9,0.0,Sheffield United,0.38,0.29,0.47,0.0,Draw,Draw,Draw,Win,Win,14,13,14,1.0,Newcastle United,0.31,0.27,0.36,https://footystats.org//england/newcastle-united-fc-vs-sheffield-united-fc-h2h-stats#579289,Home,30,3.31,3.02,2.42
Draw,Draw,Win,Lose,Draw,4,4,8,0.63,Chelsea,0.48,0.5,0.47,0.15,Draw,Lose,Lose,Win,Win,19,19,16,0.21,Aston Villa,0.24,0.13,0.36,https://footystats.org//england/aston-villa-fc-vs-chelsea-fc-h2h-stats#579285,Away,30,6.97,4.60,1.46
Lose,Lose,Lose,Win,Win,1,1,1,0.57,Liverpool,0.93,0.86,1.0,0.39,Draw,Win,Draw,Win,Win,12,15,7,0.04,Everton,0.34,0.2,0.5,https://footystats.org//england/everton-fc-vs-liverpool-fc-h2h-stats#579287,Draw,30,5.71,3.96,1.62
Draw,Win,Win,Lose,Lose,11,10,11,0.08,Burnley,0.38,0.29,0.47,0.23,Win,Win,Lose,Win,Draw,2,2,2,0.69,Manchester City,0.66,0.6,0.71,https://footystats.org//england/manchester-city-fc-vs-burnley-fc-h2h-stats#579288,Home,30,1.14,8.75,20.33
Lose,Lose,Lose,Lose,Lose,18,17,16,0.08,AFC Bournemouth,0.25,0.21,0.29,0.08,Win,Win,Win,Win,Win,1,1,1,0.83,Liverpool,0.93,0.86,1.0,https://footystats.org//england/liverpool-fc-vs-afc-bournemouth-h2h-stats#579279,Home,29,1.22,6.99,12.58
Lose,Lose,Lose,Lose,Win,16,14,18,0.08,West Ham United,0.25,0.21,0.29,0.16,Lose,Win,Win,Draw,Win,10,11,7,0.75,Arsenal,0.3,0.15,0.43,https://footystats.org//england/arsenal-fc-vs-west-ham-united-fc-h2h-stats#579274,Home,29,1.64,4.23,5.08
Lose,Draw,Lose,Lose,Win,17,18,15,0.27,Watford,0.21,0.14,0.29,0.27,Win,Lose,Lose,Draw,Lose,12,8,13,0.45,Crystal Palace,0.32,0.29,0.36,https://footystats.org//england/crystal-palace-fc-vs-watford-fc-h2h-stats#579277,Home,29,2.7,3.08,2.88
