away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Lose,Lose,Lose,Draw,Lose,16,16,15,0.0,Orenburg,0.21,0.23,0.2,0.0,Win,Win,Win,Draw,Draw,1,1,1,1.0,Zenit,0.71,0.79,0.64,https://footystats.org//russia/fk-zenit-st-petersburg-vs-fk-orenburg-h2h-stats#609873,Home,29,1.24,6.11,10.1
Win,Win,Win,Lose,Win,13,9,13,0.38,Akhmat Grozny,0.25,0.38,0.13,0.15,Draw,Lose,Draw,Lose,Win,12,5,14,0.46,Spartak Moskva,0.32,0.43,0.21,https://footystats.org//russia/fk-spartak-moskva-vs-fk-akhmat-grozny-h2h-stats#609874,Home,29,2.1,3.28,3.44
Lose,Draw,Win,Lose,Win,3,4,3,0.56,Krasnodar,0.48,0.43,0.54,0.33,Draw,Lose,Draw,Lose,Lose,15,11,16,0.11,Krylya Sovetov,0.25,0.33,0.15,https://footystats.org//russia/pfk-krylya-sovetov-samara-vs-fk-krasnodar-h2h-stats#609878,Draw,29,4.71,3.76,1.69
Win,Lose,Lose,Win,Win,9,6,12,0.1,Arsenal Tula,0.36,0.46,0.27,0.6,Win,Win,Lose,Draw,Lose,8,8,8,0.3,Ural,0.32,0.27,0.38,https://footystats.org//russia/fk-ural-vs-fk-arsenal-tula-h2h-stats#609880,Away,29,2.13,3.03,3.69
Draw,Win,Win,Lose,Lose,7,8,8,0.15,Ural,0.33,0.29,0.38,0.3,Lose,Win,Draw,Draw,Win,4,4,3,0.54,Krasnodar,0.46,0.43,0.5,https://footystats.org//russia/fk-krasnodar-vs-fk-ural-h2h-stats#609865,Home,28,1.37,4.73,7.6
Draw,Win,Win,Draw,Draw,11,12,9,0.15,Rubin Kazan,0.3,0.21,0.38,0.23,Win,Lose,Draw,Draw,Lose,3,3,6,0.62,CSKA Moskva,0.48,0.5,0.46,https://footystats.org//russia/pfk-cska-moskva-vs-fk-rubin-kazan-h2h-stats#609866,Draw,28,1.35,4.60,8.96
Win,Draw,Lose,Lose,Win,15,9,16,0.29,Krylya Sovetov,0.26,0.36,0.15,0.28,Lose,Draw,Win,Lose,Win,12,7,13,0.43,Dinamo Moskva,0.31,0.38,0.23,https://footystats.org//russia/fk-dinamo-moskva-vs-pfk-krylya-sovetov-samara-h2h-stats#609867,Home,28,2.1,3.08,3.69
Win,Draw,Draw,Draw,Lose,6,11,7,0.27,Ufa,0.3,0.21,0.38,0.36,Draw,Draw,Win,Win,Lose,2,2,4,0.36,Lokomotiv Moskva,0.52,0.57,0.46,https://footystats.org//russia/fk-lokomotiv-moskva-vs-fk-ufa-h2h-stats#609868,Draw,28,1.56,3.88,5.76
Win,Win,Win,Win,Lose,1,1,1,0.43,Zenit,0.74,0.85,0.64,0.28,Lose,Draw,Lose,Lose,Draw,13,10,13,0.29,Akhmat Grozny,0.26,0.38,0.14,https://footystats.org//russia/fk-akhmat-grozny-vs-fk-zenit-st-petersburg-h2h-stats#609869,Draw,28,2.92,3.35,2.28
Lose,Win,Win,Win,Lose,8,5,12,1.0,Spartak Moskva,0.33,0.46,0.21,0.0,Draw,Win,Win,Win,Win,12,15,7,0.0,FK Sochi,0.26,0.15,0.36,https://footystats.org//russia/fk-sochi-vs-fk-spartak-moskva-h2h-stats#609870,Home,28,2.84,3.26,2.39
