away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,odds_away,odds_draw,odds_home,result,round
Lose,Win,Lose,Lose,Lose,18,13,18,0.0,Lecce,0.22,0.31,0.14,0.6,Draw,Win,Win,Win,Win,1,1,1,0.4,Juventus,0.78,0.64,0.92,https://footystats.org//italy/juventus-fc-vs-us-lecce-h2h-stats#676605,19.0,9.0,1.12,Home,28
Win,Win,Draw,Draw,Lose,17,16,17,1.0,Genoa,0.22,0.14,0.31,0.0,Lose,Draw,Lose,Draw,Lose,20,17,20,0.0,Brescia,0.15,0.21,0.08,https://footystats.org//italy/brescia-calcio-vs-genoa-cfc-h2h-stats#676602,2.37,3.4,3.0,Draw,28
Lose,Lose,Lose,Lose,Lose,14,15,10,0.4,Torino,0.33,0.31,0.36,0.33,Lose,Lose,Draw,Lose,Lose,10,9,14,0.27,Cagliari,0.33,0.29,0.38,https://footystats.org//italy/cagliari-calcio-vs-torino-fc-h2h-stats#676608,3.1,3.3,2.3,Home,28
Draw,Win,Lose,Lose,Win,13,11,16,0.26,Fiorentina,0.26,0.31,0.21,0.21,Win,Win,Draw,Win,Win,2,4,2,0.52,Lazio,0.7,0.62,0.79,https://footystats.org//italy/ss-lazio-vs-acf-fiorentina-h2h-stats#676601,5.5,4.0,1.61,Home,28
Win,Draw,Lose,Lose,Lose,5,6,6,0.38,Roma,0.52,0.54,0.5,0.33,Lose,Win,Draw,Draw,Win,8,7,14,0.29,AC Milan,0.41,0.5,0.31,https://footystats.org//italy/ac-milan-vs-as-roma-h2h-stats#676606,2.5,3.5,2.7,Home,28
Win,Win,Win,Win,Lose,4,3,4,0.32,Atalanta,0.59,0.62,0.57,0.36,Draw,Draw,Lose,Win,Win,15,20,8,0.32,Udinese,0.26,0.14,0.38,https://footystats.org//italy/udinese-calcio-vs-atalanta-bergamasca-calcio-h2h-stats#676599,1.44,4.5,7.0,Away,28
Lose,Win,Win,Lose,Win,11,10,13,0.35,Bologna,0.33,0.38,0.29,0.23,Win,Lose,Lose,Draw,Win,16,18,15,0.41,Sampdoria,0.26,0.23,0.29,https://footystats.org//italy/uc-sampdoria-vs-bologna-fc-1909-h2h-stats#676600,3.0,3.5,2.3,Away,28
Lose,Draw,Draw,Draw,Draw,10,12,5,0.4,Hellas Verona,0.37,0.23,0.5,0.2,Win,Lose,Win,Win,Lose,12,14,9,0.4,Sassuolo,0.33,0.21,0.46,https://footystats.org//italy/us-sassuolo-calcio-vs-hellas-verona-fc-h2h-stats#676603,2.9,3.25,2.5,Draw,28
Win,Lose,Lose,Win,Lose,19,19,19,0.0,SPAL,0.19,0.21,0.15,0.2,Draw,Draw,Win,Draw,Lose,6,5,12,0.8,Napoli,0.44,0.5,0.38,https://footystats.org//italy/ssc-napoli-vs-societa-polisportiva-ars-et-labor-2013-h2h-stats#676607,10.0,6.0,1.28,Home,28
Draw,Lose,Win,Lose,Win,3,2,3,0.38,Inter Milan,0.63,0.69,0.57,0.3,Lose,Lose,Win,Lose,Win,7,8,10,0.31,Parma,0.41,0.36,0.46,https://footystats.org//italy/parma-calcio-1913-vs-fc-internazionale-milano-h2h-stats#676604,1.57,3.8,6.5,Away,28
Lose,Lose,Lose,Lose,Draw,20,18,20,0.0,Brescia,0.15,0.23,0.08,1.0,Draw,Lose,Draw,Win,Win,13,10,16,0.0,Fiorentina,0.27,0.31,0.23,https://footystats.org//italy/acf-fiorentina-vs-brescia-calcio-h2h-stats#676589,6.5,4.33,1.5,Draw,27
Draw,Draw,Lose,Win,Win,9,7,12,0.6,AC Milan,0.38,0.46,0.31,0.4,Lose,Win,Win,Draw,Lose,18,13,18,0.0,Lecce,0.23,0.31,0.15,https://footystats.org//italy/us-lecce-vs-ac-milan-h2h-stats#676593,1.6,4.2,5.25,Away,27
Draw,Lose,Win,Draw,Lose,1,4,1,0.81,Juventus,0.77,0.62,0.92,0.19,Draw,Lose,Win,Draw,Draw,10,9,10,0.0,Bologna,0.35,0.38,0.31,https://footystats.org//italy/bologna-fc-1909-vs-juventus-fc-h2h-stats#676591,1.53,4.33,6.0,Away,27
Lose,Lose,Draw,Draw,Lose,11,11,13,0.83,Cagliari,0.31,0.23,0.38,0.16,Lose,Lose,Lose,Lose,Lose,19,19,19,0.0,SPAL,0.19,0.21,0.17,https://footystats.org//italy/societa-polisportiva-ars-et-labor-2013-vs-cagliari-calcio-h2h-stats#676590,2.7,3.2,2.7,Away,27
Win,Win,Win,Win,Lose,6,6,11,0.9,Napoli,0.42,0.46,0.38,0.0,Win,Win,Win,Win,Draw,8,12,4,0.1,Hellas Verona,0.38,0.23,0.54,https://footystats.org//italy/hellas-verona-fc-vs-ssc-napoli-h2h-stats#676594,1.9,3.5,4.1,Away,27
Draw,Win,Draw,Lose,Lose,9,8,8,0.31,Parma,0.38,0.31,0.46,0.38,Lose,Win,Lose,Win,Lose,17,16,17,0.31,Genoa,0.23,0.14,0.33,https://footystats.org//italy/genoa-cfc-vs-parma-calcio-1913-h2h-stats#676595,3.5,3.3,2.15,Away,27
Draw,Draw,Lose,Lose,Lose,14,20,7,0.29,Udinese,0.27,0.15,0.38,0.23,Draw,Lose,Lose,Win,Draw,15,15,16,0.47,Torino,0.31,0.31,0.31,https://footystats.org//italy/torino-fc-vs-udinese-calcio-h2h-stats#676598,3.0,3.1,2.5,Home,27
Lose,Win,Draw,Lose,Lose,12,14,9,0.54,Sassuolo,0.35,0.23,0.46,0.07,Win,Win,Lose,Win,Win,3,2,3,0.38,Inter Milan,0.65,0.69,0.62,https://footystats.org//italy/fc-internazionale-milano-vs-us-sassuolo-calcio-h2h-stats#676597,7.0,5.25,1.36,Draw,27
Win,Win,Draw,Lose,Win,2,4,2,0.45,Lazio,0.73,0.67,0.79,0.18,Win,Win,Win,Draw,Lose,4,3,5,0.36,Atalanta,0.58,0.62,0.54,https://footystats.org//italy/atalanta-bergamasca-calcio-vs-ss-lazio-h2h-stats#676592,3.2,3.8,2.1,Home,27
Lose,Win,Lose,Draw,Win,16,18,15,0.29,Sampdoria,0.27,0.25,0.29,0.28,Win,Win,Lose,Draw,Lose,5,6,6,0.43,Roma,0.5,0.54,0.46,https://footystats.org//italy/as-roma-vs-uc-sampdoria-h2h-stats#676596,6.5,4.5,1.44,Home,27
Win,Win,Lose,Win,Lose,10,8,11,0.11,Bologna,0.36,0.42,0.31,0.42,Win,Draw,Win,Win,Win,2,2,2,0.47,Lazio,0.72,0.67,0.77,https://footystats.org//italy/ss-lazio-vs-bologna-fc-1909-h2h-stats#676580,6.0,4.33,1.53,Home,26
Lose,Lose,Lose,Lose,Win,14,15,15,0.18,Torino,0.33,0.33,0.33,0.23,Draw,Lose,Win,Win,Lose,6,5,14,0.59,Napoli,0.4,0.46,0.33,https://footystats.org//italy/ssc-napoli-vs-torino-fc-h2h-stats#676588,7.0,4.6,1.44,Home,26
