link,round,home_team,away_team,result,home_position_all,away_position_all,home_winperc_all,away_winperc_all,home_position_home,away_position_home,home_winperc_home,away_winperc_home,home_position_away,away_position_away,home_winperc_away,away_winperc_away,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,home_previous,draw_previous,away_previous,odds_home,odds_draw,odds_away
https://footystats.org//italy/us-salernitana-1919-vs-us-cremonese-h2h-stats#683829,31,Salernitana,Cremonese,Draw,7,16,0.4,0.27,6,15,0.57,0.33,15,14,0.25,0.2,Draw,Win,Win,Win,Win,Win,Win,Draw,Lose,Lose,0.2,0.6,0.2,2.58,2.96,2.89
https://footystats.org//italy/ascoli-picchio-fc-1898-vs-fc-crotone-h2h-stats#683830,31,Ascoli,Crotone,Draw,17,2,0.3,0.5,13,2,0.5,0.6,20,5,0.13,0.4,Lose,Lose,Draw,Draw,Lose,Draw,Win,Win,Lose,Lose,0.42,0.08,0.5,3.68,3.49,1.94
https://footystats.org//italy/delfino-pescara-1936-vs-empoli-fc-h2h-stats#683831,31,Pescara,Empoli,Draw,13,10,0.37,0.33,14,8,0.4,0.38,12,10,0.33,0.29,Win,Win,Lose,Win,Lose,Lose,Win,Win,Win,Lose,0.33,0.16,0.5,2.88,3.23,2.4
https://footystats.org//italy/ac-chievo-verona-vs-frosinone-calcio-h2h-stats#683832,31,Chievo,Frosinone,Home,8,5,0.33,0.43,12,4,0.47,0.6,6,7,0.2,0.27,Lose,Win,Lose,Win,Lose,Draw,Draw,Win,Win,Win,0.67,0.16,0.17,2.75,2.83,2.82
https://footystats.org//italy/benevento-calcio-vs-ss-juve-stabia-h2h-stats#683833,31,Benevento,Juve Stabia,Home,1,15,0.73,0.33,1,10,0.8,0.5,1,19,0.67,0.14,Win,Win,Win,Draw,Draw,Lose,Lose,Lose,Draw,Draw,0.4,0.6,0.0,1.43,4.06,7.89
https://footystats.org//italy/as-cittadella-vs-perugia-calcio-h2h-stats#683834,31,Cittadella,Perugia,Home,4,12,0.47,0.37,16,11,0.33,0.44,2,9,0.6,0.29,Lose,Draw,Win,Lose,Lose,Win,Lose,Lose,Win,Lose,0.22,0.44,0.33,2.29,3.09,3.21
https://footystats.org//italy/asd-spezia-calcio-2008-vs-ac-pisa-1909-h2h-stats#683835,31,Spezia,Pisa,Away,3,11,0.47,0.33,5,9,0.6,0.44,4,13,0.33,0.21,Win,Win,Win,Win,Win,Draw,Lose,Lose,Win,Draw,0.2,0.4,0.4,1.9,3.29,4.12
https://footystats.org//italy/cosenza-calcio-vs-asd-trapani-calcio-h2h-stats#683836,31,Cosenza,Trapani,Draw,18,19,0.23,0.2,19,17,0.21,0.27,8,17,0.25,0.13,Win,Lose,Lose,Lose,Lose,Draw,Draw,Lose,Lose,Draw,0.88,0.12,0.0,2.45,3.00,3.01
https://footystats.org//italy/as-livorno-calcio-vs-venezia-fc-h2h-stats#683837,31,Livorno,Venezia,Away,20,14,0.17,0.27,20,18,0.21,0.2,18,3,0.13,0.33,Lose,Draw,Lose,Lose,Draw,Draw,Lose,Win,Win,Draw,0.33,0.33,0.33,2.76,2.99,2.65
https://footystats.org//italy/pordenone-calcio-vs-acd-virtus-entella-h2h-stats#683838,31,Pordenone,Virtus Entella,Home,6,9,0.43,0.37,3,7,0.6,0.53,11,16,0.27,0.2,Draw,Win,Lose,Draw,Lose,Lose,Lose,Draw,Lose,Draw,0.0,1.0,0.0,2.57,3.11,2.75
https://footystats.org//italy/venezia-fc-vs-ascoli-picchio-fc-1898-h2h-stats#683819,30,Venezia,Ascoli,Home,16,17,0.24,0.31,19,11,0.14,0.5,3,19,0.33,0.13,Lose,Draw,Draw,Lose,Draw,Lose,Lose,Lose,Win,Lose,0.4,0.4,0.2,2.16,3.18,3.39
https://footystats.org//italy/empoli-fc-vs-benevento-calcio-h2h-stats#683820,30,Empoli,Benevento,Draw,9,1,0.34,0.76,8,1,0.4,0.8,10,1,0.29,0.71,Draw,Lose,Win,Win,Draw,Win,Win,Win,Win,Win,0.0,0.0,1.0,2.93,3.09,2.45
https://footystats.org//italy/frosinone-calcio-vs-as-cittadella-h2h-stats#683821,30,Frosinone,Cittadella,Away,3,5,0.45,0.45,4,16,0.64,0.33,6,2,0.27,0.57,Lose,Win,Win,Win,Draw,Win,Win,Win,Win,Draw,0.27,0.72,0.0,2.31,2.88,3.44
https://footystats.org//italy/us-cremonese-vs-cosenza-calcio-h2h-stats#683822,30,Cremonese,Cosenza,Away,15,18,0.28,0.21,15,18,0.36,0.21,14,12,0.2,0.2,Lose,Lose,Win,Lose,Draw,Lose,Draw,Win,Lose,Lose,0.5,0.0,0.5,1.92,3.17,4.24
https://footystats.org//italy/perugia-calcio-vs-fc-crotone-h2h-stats#683823,30,Perugia,Crotone,Draw,10,2,0.38,0.52,12,2,0.47,0.6,9,4,0.29,0.43,Win,Lose,Lose,Lose,Win,Win,Win,Lose,Lose,Win,0.43,0.28,0.29,2.89,3.02,2.52
https://footystats.org//italy/ss-juve-stabia-vs-as-livorno-calcio-h2h-stats#683824,30,Juve Stabia,Livorno,Away,14,20,0.34,0.14,7,20,0.53,0.21,18,20,0.14,0.07,Win,Draw,Win,Lose,Win,Lose,Win,Lose,Draw,Lose,0.17,0.16,0.67,2.22,3.19,3.25
https://footystats.org//italy/ac-pisa-1909-vs-delfino-pescara-1936-h2h-stats#683825,30,Pisa,Pescara,Home,13,12,0.31,0.38,14,13,0.4,0.4,13,11,0.21,0.36,Win,Win,Lose,Draw,Draw,Lose,Lose,Lose,Lose,Win,0.0,0.0,1.0,2.41,3.10,2.99
https://footystats.org//italy/asd-trapani-calcio-vs-pordenone-calcio-h2h-stats#683826,30,Trapani,Pordenone,Home,19,6,0.17,0.45,17,3,0.21,0.6,17,8,0.13,0.29,Draw,Win,Draw,Lose,Win,Win,Win,Lose,Lose,Draw,0.0,0.0,1.0,2.43,3.04,3.0
https://footystats.org//italy/acd-virtus-entella-vs-us-salernitana-1919-h2h-stats#683827,30,Virtus Entella,Salernitana,Home,11,7,0.34,0.41,9,6,0.5,0.57,16,15,0.2,0.27,Win,Lose,Lose,Win,Draw,Lose,Lose,Lose,Draw,Win,0.25,0.25,0.5,2.39,3.01,3.1
https://footystats.org//italy/ac-chievo-verona-vs-asd-spezia-calcio-2008-h2h-stats#683828,30,Chievo,Spezia,Away,8,4,0.34,0.45,10,5,0.5,0.6,5,7,0.2,0.29,Win,Lose,Win,Lose,Win,Lose,Lose,Draw,Win,Win,0.0,1.0,0.0,2.53,2.89,3.01
https://footystats.org//italy/us-cremonese-vs-benevento-calcio-h2h-stats#683809,29,Cremonese,Benevento,Away,15,1,0.29,0.75,15,1,0.38,0.8,13,1,0.2,0.69,Lose,Win,Lose,Draw,Draw,Win,Win,Win,Win,Win,0.5,0.0,0.5,3.3,3.12,2.23
https://footystats.org//italy/fc-crotone-vs-ac-chievo-verona-h2h-stats#683810,29,Crotone,Chievo,Draw,2,8,0.54,0.36,2,10,0.64,0.5,4,5,0.43,0.21,Win,Win,Win,Lose,Win,Draw,Win,Draw,Draw,Draw,0.6,0.0,0.4,2.2,3.07,3.45
https://footystats.org//italy/as-livorno-calcio-vs-as-cittadella-h2h-stats#683811,29,Livorno,Cittadella,Away,20,6,0.14,0.43,19,16,0.23,0.33,20,2,0.07,0.54,Draw,Lose,Lose,Draw,Lose,Win,Win,Win,Draw,Win,0.18,0.36,0.45,3.52,3.11,2.15
https://footystats.org//italy/asd-spezia-calcio-2008-vs-empoli-fc-h2h-stats#683812,29,Spezia,Empoli,Home,5,9,0.43,0.36,6,8,0.57,0.4,6,9,0.29,0.31,Win,Win,Win,Win,Draw,Win,Win,Win,Lose,Lose,0.14,0.57,0.29,2.26,3.03,3.34
https://footystats.org//italy/asd-trapani-calcio-vs-frosinone-calcio-h2h-stats#683813,29,Trapani,Frosinone,Draw,18,3,0.18,0.46,17,3,0.23,0.64,17,7,0.13,0.29,Win,Draw,Lose,Win,Draw,Draw,Win,Win,Win,Draw,0.25,0.12,0.63,3.35,2.89,2.34
https://footystats.org//italy/delfino-pescara-1936-vs-ss-juve-stabia-h2h-stats#683814,29,Pescara,Juve Stabia,Home,14,13,0.36,0.36,14,7,0.36,0.53,10,18,0.36,0.15,Win,Lose,Win,Lose,Draw,Lose,Lose,Draw,Draw,Draw,0.4,0.0,0.6,2.16,3.15,3.39
https://footystats.org//italy/ascoli-picchio-fc-1898-vs-perugia-calcio-h2h-stats#683815,29,Ascoli,Perugia,Away,17,13,0.32,0.36,11,12,0.54,0.47,19,16,0.13,0.23,Lose,Draw,Draw,Lose,Win,Lose,Lose,Win,Lose,Lose,0.18,0.36,0.45,2.73,2.94,2.73
https://footystats.org//italy/us-salernitana-1919-vs-ac-pisa-1909-h2h-stats#683816,29,Salernitana,Pisa,Draw,7,11,0.43,0.32,6,13,0.62,0.4,13,14,0.27,0.23,Win,Win,Win,Win,Win,Lose,Lose,Win,Draw,Lose,0.43,0.42,0.14,2.14,3.08,3.6
https://footystats.org//italy/pordenone-calcio-vs-venezia-fc-h2h-stats#683817,29,Pordenone,Venezia,Draw,5,17,0.46,0.25,4,18,0.64,0.14,8,3,0.29,0.36,Win,Lose,Draw,Lose,Win,Lose,Win,Win,Draw,Win,0.5,0.16,0.33,2.25,3.12,3.29
https://footystats.org//italy/cosenza-calcio-vs-acd-virtus-entella-h2h-stats#683818,29,Cosenza,Virtus Entella,Home,19,10,0.18,0.36,20,9,0.15,0.5,11,15,0.2,0.21,Lose,Lose,Lose,Lose,Win,Lose,Draw,Lose,Draw,Win,0.0,0.0,1.0,2.37,2.98,3.18
https://footystats.org//italy/acd-virtus-entella-vs-ascoli-picchio-fc-1898-h2h-stats#683799,28,Virtus Entella,Ascoli,Home,13,15,0.33,0.35,12,8,0.46,0.58,14,19,0.21,0.14,Lose,Lose,Win,Draw,Draw,Lose,Lose,Win,Lose,Lose,0.22,0.44,0.33,2.07,3.27,3.51
https://footystats.org//italy/ac-chievo-verona-vs-cosenza-calcio-h2h-stats#683800,28,Chievo,Cosenza,Home,9,19,0.33,0.19,13,20,0.46,0.15,5,11,0.21,0.21,Lose,Win,Lose,Win,Lose,Draw,Win,Lose,Lose,Lose,0.0,1.0,0.0,1.82,3.16,4.8
https://footystats.org//italy/frosinone-calcio-vs-us-cremonese-h2h-stats#683801,28,Frosinone,Cremonese,Away,2,17,0.48,0.23,2,15,0.69,0.38,6,19,0.29,0.08,Win,Win,Win,Draw,Lose,Draw,Lose,Lose,Draw,Lose,0.0,0.6,0.4,1.83,3.10,4.96
https://footystats.org//italy/venezia-fc-vs-fc-crotone-h2h-stats#683802,28,Venezia,Crotone,Away,16,3,0.26,0.52,18,3,0.15,0.64,3,7,0.36,0.38,Draw,Draw,Lose,Draw,Lose,Win,Lose,Lose,Win,Win,0.0,0.33,0.67,3.54,3.28,2.06
https://footystats.org//italy/ac-pisa-1909-vs-as-livorno-calcio-h2h-stats#683803,28,Pisa,Livorno,Home,12,20,0.3,0.15,14,19,0.36,0.23,12,20,0.23,0.07,Win,Lose,Draw,Draw,Draw,Win,Lose,Draw,Lose,Draw,0.33,0.0,0.67,2.22,3.08,3.35
https://footystats.org//italy/benevento-calcio-vs-delfino-pescara-1936-h2h-stats#683804,28,Benevento,Pescara,Home,1,12,0.74,0.37,1,14,0.79,0.36,1,8,0.69,0.38,Win,Win,Draw,Draw,Win,Lose,Lose,Lose,Win,Win,0.33,0.0,0.67,1.43,4.26,6.98
https://footystats.org//italy/as-cittadella-vs-pordenone-calcio-h2h-stats#683805,28,Cittadella,Pordenone,Away,5,7,0.44,0.44,16,4,0.36,0.64,2,15,0.54,0.23,Draw,Win,Lose,Lose,Lose,Win,Lose,Lose,Draw,Lose,0.67,0.33,0.0,2.06,3.14,3.71
https://footystats.org//italy/perugia-calcio-vs-us-salernitana-1919-h2h-stats#683806,28,Perugia,Salernitana,Home,13,6,0.33,0.44,12,5,0.43,0.62,14,11,0.23,0.29,Lose,Lose,Lose,Win,Lose,Lose,Lose,Draw,Win,Lose,0.27,0.54,0.18,2.2,2.92,3.64
https://footystats.org//italy/ss-juve-stabia-vs-asd-spezia-calcio-2008-h2h-stats#683807,28,Juve Stabia,Spezia,Home,14,5,0.33,0.44,11,6,0.5,0.57,18,5,0.15,0.31,Draw,Win,Lose,Win,Win,Lose,Draw,Win,Win,Draw,0.4,0.2,0.4,4.01,3.22,1.95
https://footystats.org//italy/empoli-fc-vs-asd-trapani-calcio-h2h-stats#683808,28,Empoli,Trapani,Draw,8,19,0.37,0.19,8,17,0.43,0.23,9,17,0.31,0.14,Lose,Win,Win,Draw,Draw,Draw,Lose,Lose,Draw,Lose,0.0,1.0,0.0,1.8,3.50,4.33
https://footystats.org//italy/perugia-calcio-vs-benevento-calcio-h2h-stats#683789,27,Perugia,Benevento,Away,13,1,0.35,0.73,12,1,0.46,0.79,13,1,0.23,0.67,Lose,Lose,Win,Lose,Win,Win,Win,Win,Win,Win,0.31,0.38,0.31,3.36,2.98,2.26
https://footystats.org//italy/ascoli-picchio-fc-1898-vs-ac-chievo-verona-h2h-stats#683790,27,Ascoli,Chievo,Draw,16,9,0.36,0.35,8,11,0.64,0.46,18,6,0.14,0.23,Draw,Lose,Win,Win,Win,Win,Draw,Draw,Draw,Draw,0.0,0.0,1.0,3.01,2.89,2.55
https://footystats.org//italy/cosenza-calcio-vs-as-cittadella-h2h-stats#683791,27,Cosenza,Cittadella,Away,18,5,0.19,0.42,19,16,0.17,0.36,9,2,0.21,0.5,Lose,Lose,Lose,Win,Lose,Win,Win,Draw,Win,Lose,0.67,0.0,0.33,2.61,2.95,2.85
https://footystats.org//italy/us-cremonese-vs-empoli-fc-h2h-stats#683792,27,Cremonese,Empoli,Away,17,9,0.24,0.35,15,7,0.42,0.43,19,14,0.08,0.25,Win,Lose,Draw,Draw,Win,Win,Win,Lose,Lose,Lose,0.25,0.75,0.0,2.43,3.10,2.94
https://footystats.org//italy/as-livorno-calcio-vs-frosinone-calcio-h2h-stats#683793,27,Livorno,Frosinone,Draw,20,2,0.15,0.5,20,2,0.25,0.69,20,7,0.07,0.31,Lose,Lose,Draw,Lose,Lose,Win,Win,Win,Draw,Lose,0.25,0.25,0.5,3.61,2.99,2.16
https://footystats.org//italy/pordenone-calcio-vs-ss-juve-stabia-h2h-stats#683794,27,Pordenone,Juve Stabia,Home,7,14,0.42,0.35,4,9,0.62,0.5,15,16,0.23,0.17,Lose,Draw,Lose,Win,Win,Lose,Draw,Draw,Draw,Win,0.5,0.0,0.5,1.62,3.79,5.13
https://footystats.org//italy/asd-spezia-calcio-2008-vs-delfino-pescara-1936-h2h-stats#683795,27,Spezia,Pescara,Home,7,10,0.42,0.38,6,13,0.54,0.36,4,8,0.31,0.42,Win,Win,Win,Draw,Win,Lose,Lose,Win,Win,Lose,0.33,0.25,0.42,1.67,3.52,5.34
https://footystats.org//italy/fc-crotone-vs-ac-pisa-1909-h2h-stats#683796,27,Crotone,Pisa,Home,3,12,0.5,0.31,3,14,0.62,0.36,6,11,0.38,0.25,Win,Win,Lose,Win,Win,Lose,Win,Draw,Lose,Win,0.0,1.0,0.0,1.42,4.29,7.32
