away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Win,Win,Draw,Draw,Draw,10,10,11,0.0,Mjällby,0.0,0.0,0.0,0.4,Win,Lose,Win,Win,Win,9,9,10,0.6,Malmö FF,0.0,0.0,0.0,https://footystats.org//sweden/malmo-ff-vs-mjallby-aif-h2h-stats#832233,Home,30,1.38,4.72,8.12
Lose,Win,Lose,Lose,Lose,14,13,15,0.14,Örebro,0.0,0.0,0.0,0.07,Lose,Win,Win,Lose,Win,3,3,6,0.79,Djurgården,1.0,1.0,0.0,https://footystats.org//sweden/djurgardens-if-vs-orebro-sk-h2h-stats#832231,Away,30,1.53,4.12,6.18
Lose,Win,Lose,Draw,Lose,16,16,16,0.3,Östersunds FK,0.0,0.0,0.0,0.4,Win,Win,Win,Win,Win,5,5,5,0.3,Hammarby,0.0,0.0,0.0,https://footystats.org//sweden/hammarby-if-vs-ostersunds-fk-h2h-stats#832220,Home,29,1.32,5.49,8.68
Win,Lose,Win,Win,Draw,5,12,2,0.36,Malmö FF,1.0,0.0,1.0,0.35,Win,Win,Lose,Draw,Lose,10,8,6,0.29,Häcken,0.0,0.0,0.0,https://footystats.org//sweden/bk-hacken-vs-malmo-ff-h2h-stats#832205,Draw,27,2.98,3.13,2.48
Lose,Lose,Lose,Lose,Win,9,9,9,0.21,Kalmar,0.0,0.0,0.0,0.21,Win,Win,Draw,Win,Win,12,12,12,0.57,Norrköping,0.0,0.0,0.0,https://footystats.org//sweden/ifk-norrkoping-vs-kalmar-ff-h2h-stats#832203,Home,26,1.87,3.47,4.28
Win,Draw,Draw,Win,Win,8,4,8,0.21,Djurgården,0.5,1.0,0.0,0.5,Win,Win,Win,Draw,Win,1,1,4,0.29,Norrköping,1.0,1.0,1.0,https://footystats.org//sweden/ifk-norrkoping-vs-djurgardens-if-h2h-stats#832186,Home,24,2.24,3.28,3.25
Lose,Win,Win,Draw,Draw,15,15,12,0.33,Mjällby,0.0,0.0,0.0,0.0,Lose,Draw,Win,Win,Lose,10,6,11,0.67,IFK Göteborg,0.5,1.0,0.0,https://footystats.org//sweden/ifk-goteborg-vs-mjallby-aif-h2h-stats#832159,Draw,21,2.2,3.13,3.53
Win,Lose,Lose,Lose,Lose,12,11,12,,IFK Göteborg,0.0,0.0,0.0,,Draw,Draw,Win,Draw,Win,4,2,9,,Varberg,1.0,1.0,0.0,https://footystats.org//sweden/varbergs-bois-fc-vs-ifk-goteborg-h2h-stats#832121,Away,16,3.14,3.16,2.36
Lose,Win,Draw,Win,Lose,6,11,3,0.29,Norrköping,1.0,0.0,1.0,0.28,Win,Draw,Win,Win,Win,2,2,5,0.43,AIK,1.0,1.0,0.0,https://footystats.org//sweden/aik-fotboll-vs-ifk-norrkoping-h2h-stats#832111,Away,15,2.82,3.03,2.67
Draw,Draw,Win,Win,Win,2,2,2,0.67,Djurgården,0.0,0.0,0.0,0.0,Lose,Win,Win,Lose,Win,13,13,13,0.33,Sirius,0.0,0.0,0.0,https://footystats.org//sweden/ik-sirius-fotboll-vs-djurgardens-if-h2h-stats#832105,Away,14,6.27,3.83,1.57
Win,Lose,Win,Draw,Draw,8,7,8,0.63,Häcken,0.0,0.0,0.0,0.12,Win,Win,Lose,Lose,Win,6,4,6,0.25,Falkenberg,0.0,0.0,0.0,https://footystats.org//sweden/falkenbergs-ff-vs-bk-hacken-h2h-stats#832101,Draw,14,5.1,3.74,1.68
Lose,Lose,Win,Lose,Draw,15,15,14,0.25,Östersunds FK,0.0,0.0,0.0,0.0,Lose,Draw,Lose,Draw,Win,12,7,13,0.75,Örebro,0.5,1.0,0.0,https://footystats.org//sweden/orebro-sk-vs-ostersunds-fk-h2h-stats#832079,Draw,11,2.02,3.49,3.62
