away_form_1,away_form_2,away_form_3,away_form_4,away_form_5,away_position_all,away_position_away,away_position_home,away_previous,away_team,away_winperc_all,away_winperc_away,away_winperc_home,draw_previous,home_form_1,home_form_2,home_form_3,home_form_4,home_form_5,home_position_all,home_position_away,home_position_home,home_previous,home_team,home_winperc_all,home_winperc_away,home_winperc_home,link,result,round,odds_home,odds_draw,odds_away
Lose,Draw,Win,Lose,Lose,8,7,5,0.33,Avanhard,0.48,0.36,0.58,0.0,Win,Win,Win,Win,Draw,4,2,6,0.67,Metalist 1925 Kharkiv,0.57,0.5,0.64,https://footystats.org//ukraine/fc-metalist-1925-kharkiv-vs-fk-avanhard-kramatorsk-h2h-stats#856375,Away,24,1.86,3.13,3.85
Win,Win,Win,Lose,Lose,1,4,3,0.33,Ahrobiznes Volochysk,0.68,0.55,0.82,0.66,Win,Lose,Win,Win,Lose,9,8,10,0.0,Hirnyk-Sport,0.41,0.36,0.45,https://footystats.org//ukraine/fc-hirnyk-sport-komsomolsk-vs-fk-ahrobiznes-volochysk-h2h-stats#856367,Home,23,,,
Win,Lose,Lose,Draw,Win,3,1,5,0.0,Metalist 1925 Kharkiv,0.59,0.55,0.64,0.0,Draw,Lose,Draw,Win,Win,5,6,4,1.0,Minai,0.55,0.36,0.73,https://footystats.org//ukraine/fc-minai-vs-fc-metalist-1925-kharkiv-h2h-stats#856368,Home,23,2.01,3.40,3.07
Lose,Lose,Lose,Lose,Lose,14,15,13,0.17,Balkany Zorya,0.18,0.09,0.27,0.16,Win,Win,Win,Lose,Draw,8,7,6,0.67,Avanhard,0.5,0.36,0.64,https://footystats.org//ukraine/fk-avanhard-kramatorsk-vs-fk-balkany-zorya-h2h-stats#856369,Draw,23,1.38,4.31,6.42
Draw,Draw,Win,Lose,Lose,2,5,4,0.2,Inhulets,0.59,0.45,0.73,0.6,Win,Draw,Win,Win,Win,5,9,1,0.2,Volyn,0.55,0.27,0.82,https://footystats.org//ukraine/fc-volyn-lutsk-vs-fk-inhulets-petrove-h2h-stats#856370,Away,23,2.04,3.32,3.19
Lose,Win,Lose,Draw,Lose,12,13,12,0.33,Kremin,0.23,0.09,0.36,0.0,Lose,Lose,Lose,Lose,Win,13,10,14,0.67,Prykarpattia,0.23,0.27,0.18,https://footystats.org//ukraine/fk-prykarpattia-ivano-frankivsk-vs-fc-kremin-kremenchuk-h2h-stats#856371,Home,23,2.02,3.47,3.14
Lose,Lose,Win,Win,Lose,8,2,8,0.44,Obolon-Brovar,0.5,0.55,0.45,0.33,Draw,Win,Lose,Lose,Lose,11,12,11,0.22,Mykolaiv,0.23,0.09,0.36,https://footystats.org//ukraine/mfk-mykolaiv-vs-fc-obolon-brovar-kyiv-h2h-stats#856372,Away,23,2.83,3.29,2.26
Draw,Win,Lose,Lose,Win,6,3,7,1.0,Rukh Vynnyky,0.57,0.45,0.7,0.0,Draw,Win,Draw,Win,Win,10,11,9,0.0,Chornomorets,0.36,0.27,0.45,https://footystats.org//ukraine/fk-chornomorets-odessa-vs-fc-rukh-vynnyky-h2h-stats#856373,Draw,23,3.67,3.24,1.87
Lose,Draw,Win,Lose,Lose,6,8,2,1.0,Minai,0.52,0.3,0.73,0.0,Win,Lose,Draw,Draw,Win,14,15,12,0.0,Balkany Zorya,0.19,0.09,0.3,https://footystats.org//ukraine/fk-balkany-zorya-vs-fc-minai-h2h-stats#856358,Away,22,,,
Lose,Win,Win,Lose,Lose,9,7,10,0.0,Hirnyk-Sport,0.43,0.4,0.45,0.33,Win,Win,Win,Draw,Win,2,1,7,0.67,Metalist 1925 Kharkiv,0.57,0.55,0.6,https://footystats.org//ukraine/fc-metalist-1925-kharkiv-vs-fc-hirnyk-sport-komsomolsk-h2h-stats#856359,Home,22,,,
Lose,Lose,Lose,Lose,Lose,16,16,16,0.0,Cherkashchyna-Akademiya,0.05,0.0,0.08,0.0,Win,Win,Win,Lose,Lose,5,6,3,1.0,Ahrobiznes Volochysk,0.65,0.5,0.8,https://footystats.org//ukraine/fk-ahrobiznes-volochysk-vs-fc-cherkashchyna-akademiya-h2h-stats#856360,Home,22,,,
Draw,Lose,Draw,Draw,Lose,11,12,11,0.5,Mykolaiv,0.24,0.1,0.36,0.5,Win,Draw,Win,Win,Draw,10,10,9,0.0,Chornomorets,0.38,0.27,0.5,https://footystats.org//ukraine/fk-chornomorets-odessa-vs-mfk-mykolaiv-h2h-stats#856361,Draw,22,,,
Lose,Lose,Draw,Win,Lose,13,11,14,0.0,Prykarpattia,0.24,0.3,0.18,0.0,Draw,Lose,Win,Win,Win,8,2,8,1.0,Obolon-Brovar,0.52,0.55,0.5,https://footystats.org//ukraine/fc-obolon-brovar-kyiv-vs-fk-prykarpattia-ivano-frankivsk-h2h-stats#856362,Draw,22,1.37,4.39,6.36
Lose,Win,Win,Win,Lose,3,9,1,0.67,Volyn,0.57,0.3,0.82,0.0,Win,Win,Win,Lose,Lose,12,13,13,0.33,Kremin,0.24,0.09,0.4,https://footystats.org//ukraine/fc-kremin-kremenchuk-vs-fc-volyn-lutsk-h2h-stats#856363,Draw,22,6.85,4.60,1.34
Draw,Win,Lose,Lose,Win,7,5,5,0.57,Avanhard,0.52,0.4,0.64,0.28,Win,Win,Draw,Win,Win,1,4,4,0.14,Inhulets,0.57,0.45,0.7,https://footystats.org//ukraine/fk-inhulets-petrove-vs-fk-avanhard-kramatorsk-h2h-stats#856364,Home,22,,,
Win,Lose,Lose,Win,Lose,6,9,2,1.0,Ahrobiznes Volochysk,0.63,0.44,0.8,0.0,Win,Win,Lose,Draw,Lose,15,14,15,0.0,Metalurh Zaporizhya,0.15,0.09,0.22,https://footystats.org//ukraine/fc-metalurh-zaporizhya-vs-fk-ahrobiznes-volochysk-h2h-stats#854632,Away,21,8.3,5.49,1.24
Lose,Lose,Draw,Win,Draw,4,2,6,1.0,Metalist 1925 Kharkiv,0.55,0.5,0.6,0.0,Lose,Lose,Draw,Lose,Lose,16,16,16,0.0,Cherkashchyna-Akademiya,0.05,0.0,0.09,https://footystats.org//ukraine/fc-cherkashchyna-akademiya-vs-fc-metalist-1925-kharkiv-h2h-stats#854633,Away,21,9.25,6.27,1.19
Lose,Lose,Lose,Lose,Lose,14,15,11,0.4,Balkany Zorya,0.2,0.1,0.3,0.2,Lose,Win,Win,Lose,Win,9,6,13,0.4,Hirnyk-Sport,0.4,0.4,0.4,https://footystats.org//ukraine/fc-hirnyk-sport-komsomolsk-vs-fk-balkany-zorya-h2h-stats#854634,Home,21,,,
Draw,Win,Lose,Lose,Win,1,4,4,0.0,Inhulets,0.6,0.5,0.7,1.0,Lose,Draw,Win,Win,Win,7,7,3,0.0,Minai,0.55,0.3,0.8,https://footystats.org//ukraine/fc-minai-vs-fk-inhulets-petrove-h2h-stats#854635,Draw,21,2.49,3.01,2.61
Win,Lose,Draw,Lose,Lose,12,13,12,0.0,Kremin,0.25,0.1,0.4,0.33,Win,Win,Lose,Draw,Win,8,5,7,0.67,Avanhard,0.5,0.4,0.6,https://footystats.org//ukraine/fk-avanhard-kramatorsk-vs-fc-kremin-kremenchuk-h2h-stats#854636,Home,21,1.34,4.38,7.1
Lose,Win,Win,Lose,Lose,8,2,8,0.2,Obolon-Brovar,0.55,0.6,0.5,0.2,Draw,Win,Win,Win,Win,6,9,1,0.6,Volyn,0.55,0.3,0.8,https://footystats.org//ukraine/fc-volyn-lutsk-vs-fc-obolon-brovar-kyiv-h2h-stats#854637,Home,21,1.65,3.64,4.43
Lose,Lose,Draw,Lose,Lose,10,11,9,1.0,Chornomorets,0.35,0.2,0.5,0.0,Lose,Lose,Lose,Win,Win,13,10,14,0.0,Prykarpattia,0.25,0.3,0.2,https://footystats.org//ukraine/fk-prykarpattia-ivano-frankivsk-vs-fk-chornomorets-odessa-h2h-stats#854638,Away,21,4.79,3.98,1.54
